
Litwin_alpha10_1s_alphamax30_1to1.csv_confidence30.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,ci
0.05,0.15,69,69,1,7,0.05432,0.36525,0.36525,0.09183,0.90087,0.09913,0.3666,0.06914,0.94568,0.27338,138,0.3
0.1,0.2,104,104,0,16,0.05309,0.39259,0.39259,0.08999,0.90297,0.09702,0.49316,0.08131,0.94691,0.35233,208,0.3
0.15,0.25,132,132,0,27,0.05434,0.38036,0.38036,0.09106,0.90249,0.09749,0.48006,0.08083,0.94565,0.35144,264,0.3
0.05,0.2,39,39,1,5,0.04226,0.26939,0.36125,0.0752,0.90713,0.09287,0.35106,0.06627,0.95774,0.27337,78,0.3
0.1,0.25,50,50,1,9,0.0555,0.26295,0.35857,0.09283,0.90011,0.09988,0.37755,0.07079,0.9445,0.28729,100,0.3
0.15,0.3,65,65,2,15,0.0515,0.22773,0.3093,0.08472,0.90065,0.09935,0.30417,0.06046,0.94849,0.25163,130,0.3
0.2,0.35,71,71,1,20,0.05965,0.25278,0.35428,0.09757,0.9019,0.09809,0.39849,0.07143,0.94035,0.30465,142,0.3
0.25,0.4,78,78,0,26,0.06008,0.26114,0.38054,0.09903,0.90263,0.09736,0.47678,0.07976,0.93992,0.35093,156,0.3
0.3,0.45,86,86,1,33,0.05751,0.24191,0.34734,0.0941,0.90324,0.09675,0.40933,0.07232,0.94248,0.31801,172,0.3
0.35,0.5,90,90,2,39,0.05879,0.22802,0.31798,0.09446,0.90165,0.09833,0.34855,0.06427,0.9412,0.28092,180,0.3
0.4,0.55,95,95,2,46,0.05581,0.2235,0.31631,0.09029,0.90565,0.09433,0.35631,0.06335,0.94417,0.28886,190,0.3
0.45,0.6,92,92,3,49,0.0624,0.21441,0.28806,0.09741,0.90037,0.09962,0.29316,0.05333,0.93759,0.24114,184,0.3
0.5,0.65,90,90,0,53,0.05543,0.23421,0.35491,0.0914,0.90166,0.09832,0.47425,0.08159,0.94455,0.36678,180,0.3
0.55,0.7,86,86,0,55,0.05712,0.23437,0.35476,0.09367,0.90347,0.09652,0.4734,0.07985,0.94287,0.3658,172,0.3
0.6,0.75,83,83,3,57,0.05884,0.1987,0.26963,0.09179,0.90063,0.09936,0.28722,0.0516,0.94115,0.24328,166,0.3
0.65,0.8,73,73,2,54,0.06181,0.21049,0.2943,0.09713,0.90298,0.09702,0.33552,0.05904,0.93818,0.27748,146,0.3
0.7,0.85,63,63,1,50,0.06247,0.21912,0.3198,0.09937,0.90798,0.09202,0.3988,0.06604,0.93753,0.32191,126,0.3
0.05,0.25,25,25,0,4,0.03389,0.22044,0.42888,0.06462,0.90271,0.09729,0.60247,0.08805,0.96611,0.39184,50,0.3
0.1,0.3,33,33,0,7,0.04127,0.20186,0.40391,0.07397,0.90361,0.09638,0.54146,0.08496,0.95873,0.38076,66,0.3
0.15,0.35,38,38,0,10,0.04875,0.1992,0.39309,0.0842,0.9016,0.0984,0.51554,0.08463,0.95125,0.37188,76,0.3
0.2,0.4,42,42,1,13,0.05948,0.19918,0.35377,0.09754,0.90516,0.09484,0.38609,0.06741,0.94052,0.29539,84,0.3
0.25,0.45,47,47,1,17,0.05642,0.18987,0.3484,0.09293,0.90642,0.09358,0.3961,0.0684,0.94357,0.30755,94,0.3
0.3,0.5,51,51,2,21,0.05485,0.1735,0.30458,0.08872,0.90453,0.09546,0.31802,0.05841,0.94515,0.26287,102,0.3
0.35,0.55,52,52,2,24,0.05904,0.17707,0.30674,0.09428,0.90606,0.09393,0.31986,0.05638,0.94095,0.26062,104,0.3
0.4,0.6,52,52,0,27,0.05344,0.17909,0.36243,0.08907,0.90336,0.09664,0.48639,0.0814,0.94655,0.37268,104,0.3
0.45,0.65,51,51,1,29,0.05719,0.1758,0.33239,0.09308,0.90348,0.09652,0.4032,0.07133,0.94281,0.32281,102,0.3
0.5,0.7,50,50,1,31,0.05715,0.17327,0.32934,0.09282,0.90625,0.09374,0.40306,0.06918,0.94285,0.32384,100,0.3
0.55,0.75,46,46,1,31,0.0579,0.16896,0.32098,0.09361,0.90059,0.0994,0.40041,0.07284,0.9421,0.32696,92,0.3
0.6,0.8,43,43,2,31,0.06356,0.16509,0.28138,0.09874,0.9043,0.0957,0.30714,0.05177,0.93643,0.25629,86,0.3
0.65,0.85,40,40,2,31,0.05884,0.15429,0.26764,0.09188,0.90988,0.09012,0.30374,0.04785,0.94115,0.25901,80,0.3
0.7,0.9,35,35,2,29,0.05859,0.14756,0.25133,0.09055,0.91781,0.08218,0.28911,0.03843,0.94141,0.24821,70,0.3
0.05,0.3,17,17,1,3,0.0481,0.19574,0.36368,0.08534,0.91445,0.08555,0.28121,0.05312,0.9519,0.22342,34,0.3
0.1,0.35,21,21,0,5,0.05157,0.18624,0.42578,0.09043,0.90543,0.09456,0.55293,0.08208,0.94843,0.36782,42,0.3
0.15,0.4,27,27,0,8,0.03936,0.14797,0.38865,0.07047,0.90276,0.09724,0.53702,0.08625,0.96064,0.39167,54,0.3
0.2,0.45,29,29,1,10,0.04752,0.1478,0.33872,0.0808,0.9012,0.0988,0.38695,0.07312,0.95248,0.31178,58,0.3
0.25,0.5,31,31,2,12,0.05849,0.15134,0.29274,0.09317,0.90461,0.09539,0.27112,0.04932,0.94151,0.22468,62,0.3
0.3,0.55,32,32,2,14,0.06293,0.1545,0.29522,0.09889,0.9056,0.09439,0.27816,0.04833,0.93707,0.22665,64,0.3
0.35,0.6,32,32,0,16,0.0568,0.15533,0.37412,0.09447,0.90412,0.09588,0.49531,0.08083,0.94319,0.3717,64,0.3
0.4,0.65,35,35,2,19,0.05661,0.14253,0.29111,0.09025,0.91378,0.08622,0.30068,0.04828,0.94339,0.2496,70,0.3
0.45,0.7,33,33,1,20,0.05029,0.13373,0.31756,0.08325,0.90317,0.09683,0.40054,0.07257,0.9497,0.33238,66,0.3
0.5,0.75,32,32,1,21,0.05298,0.13618,0.31832,0.08682,0.91059,0.08941,0.39734,0.06581,0.94701,0.3266,64,0.3
0.55,0.8,28,28,0,20,0.05679,0.14138,0.35019,0.09346,0.90596,0.09404,0.49655,0.08013,0.94321,0.38881,56,0.3
0.6,0.85,26,26,1,20,0.0536,0.12767,0.29665,0.08699,0.90569,0.09431,0.39018,0.06778,0.94639,0.3325,52,0.3
0.65,0.9,23,23,1,19,0.05282,0.12225,0.28505,0.08541,0.91505,0.08495,0.38578,0.0596,0.94717,0.333,46,0.3
0.7,0.95,18,18,1,16,0.05703,0.12097,0.2686,0.0905,0.92579,0.07421,0.37073,0.04639,0.94297,0.32371,36,0.3
