
Litwin_alpha10_1s_alphaonly_1to1.csv_confidence90.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,ci
0.05,0.15,61,61,0,6,0.08188,0.44664,0.44664,0.33418,0.90687,0.09313,0.50241,0.07396,0.91812,0.31403,122,0.9
0.1,0.2,87,87,0,13,0.08917,0.42304,0.42304,0.34682,0.90273,0.09726,0.46143,0.07375,0.91083,0.30614,174,0.9
0.15,0.25,110,110,0,22,0.09083,0.41143,0.41143,0.34968,0.90166,0.09833,0.44687,0.07317,0.90917,0.30405,220,0.9
0.2,0.3,135,135,0,34,0.08085,0.39577,0.39577,0.33397,0.90019,0.09979,0.44949,0.07598,0.91913,0.31673,270,0.9
0.25,0.35,147,147,1,44,0.09485,0.3795,0.3795,0.33721,0.90319,0.09679,0.37828,0.06214,0.90513,0.26623,294,0.9
0.65,0.75,142,142,0,100,0.09729,0.38678,0.38678,0.36688,0.90037,0.09961,0.4275,0.07174,0.90269,0.30664,284,0.9
0.7,0.8,130,130,1,98,0.09865,0.36353,0.36353,0.34755,0.90428,0.0957,0.37436,0.05995,0.90134,0.27192,260,0.9
0.05,0.2,32,32,0,4,0.07264,0.34643,0.45516,0.31844,0.90375,0.09625,0.54613,0.07963,0.92736,0.33323,64,0.9
0.1,0.25,45,45,0,8,0.07402,0.31227,0.42449,0.3225,0.90133,0.09867,0.4966,0.07947,0.92598,0.33118,90,0.9
0.15,0.3,53,53,0,12,0.08793,0.31409,0.4211,0.34729,0.90297,0.09703,0.46645,0.07434,0.91206,0.31325,106,0.9
0.2,0.35,58,58,0,16,0.09934,0.31619,0.41874,0.36517,0.90063,0.09936,0.44698,0.07305,0.90066,0.30171,116,0.9
0.25,0.4,67,67,0,22,0.08943,0.29868,0.4052,0.35086,0.90046,0.09953,0.45033,0.07484,0.91056,0.31345,134,0.9
0.3,0.45,72,72,1,27,0.09845,0.29062,0.37711,0.33849,0.90457,0.09542,0.36531,0.0586,0.90154,0.25751,144,0.9
0.35,0.5,75,75,1,32,0.09645,0.2848,0.37289,0.33759,0.90229,0.0977,0.36944,0.06096,0.90354,0.2641,150,0.9
0.4,0.55,77,77,0,37,0.08983,0.28754,0.39431,0.35378,0.90119,0.0988,0.44292,0.0737,0.91016,0.31544,154,0.9
0.45,0.6,78,78,2,41,0.09884,0.26612,0.33776,0.31374,0.90171,0.09827,0.30582,0.04868,0.90115,0.22278,156,0.9
0.5,0.65,74,74,0,43,0.09645,0.2903,0.39549,0.36641,0.90322,0.09677,0.43628,0.07079,0.90354,0.30992,148,0.9
0.55,0.7,71,71,0,45,0.0926,0.28129,0.38798,0.36253,0.90013,0.09986,0.44098,0.07422,0.90739,0.31893,142,0.9
0.6,0.75,69,69,1,47,0.09726,0.27361,0.36264,0.34199,0.90878,0.09122,0.36813,0.05599,0.90273,0.2677,138,0.9
0.65,0.8,67,67,2,49,0.09047,0.24529,0.3163,0.29834,0.91023,0.08976,0.30247,0.04293,0.90952,0.22716,134,0.9
0.7,0.85,56,56,1,44,0.09562,0.26302,0.35128,0.33925,0.91473,0.08526,0.36331,0.05089,0.90438,0.26822,112,0.9
0.05,0.25,20,20,0,3,0.0745,0.29354,0.47055,0.32287,0.90605,0.09395,0.58062,0.07859,0.9255,0.33577,40,0.9
0.1,0.3,29,29,0,6,0.0627,0.23958,0.42701,0.301,0.90363,0.09637,0.5257,0.08082,0.9373,0.34908,58,0.9
0.15,0.35,35,35,1,9,0.06551,0.21292,0.35905,0.27897,0.90049,0.09951,0.36748,0.06692,0.93449,0.27606,70,0.9
0.2,0.4,39,39,1,12,0.07047,0.21264,0.35882,0.29084,0.90057,0.09943,0.37304,0.06666,0.92953,0.27928,78,0.9
0.25,0.45,40,40,1,14,0.09618,0.24227,0.37608,0.32911,0.90956,0.09043,0.35237,0.0536,0.90382,0.24629,80,0.9
0.3,0.5,42,42,1,17,0.09059,0.22964,0.36715,0.32443,0.90304,0.09696,0.362,0.05994,0.90941,0.26152,84,0.9
0.35,0.55,44,44,1,20,0.0926,0.23033,0.36824,0.32886,0.90748,0.09252,0.36291,0.05686,0.90739,0.26082,88,0.9
0.4,0.6,43,43,0,22,0.08841,0.22936,0.39644,0.35559,0.90112,0.09887,0.45538,0.07543,0.91159,0.32528,86,0.9
0.45,0.65,43,43,1,24,0.09523,0.22609,0.36204,0.33421,0.90445,0.09555,0.36166,0.05806,0.90477,0.26371,86,0.9
0.5,0.7,43,43,2,26,0.09759,0.2125,0.31467,0.29625,0.90296,0.09703,0.27568,0.04096,0.90241,0.20399,86,0.9
0.55,0.75,39,39,0,26,0.09213,0.22541,0.39146,0.36836,0.90591,0.09409,0.45312,0.07148,0.90786,0.32754,78,0.9
0.6,0.8,36,36,0,26,0.08772,0.21465,0.38147,0.36515,0.90363,0.09637,0.46011,0.0747,0.91227,0.33998,72,0.9
0.65,0.85,31,31,0,24,0.09784,0.22442,0.38912,0.38796,0.90968,0.09032,0.4551,0.06861,0.90216,0.33205,62,0.9
0.7,0.9,29,29,1,24,0.08693,0.19506,0.32489,0.3225,0.9174,0.0826,0.35606,0.04758,0.91307,0.27583,58,0.9
0.05,0.3,17,17,1,3,0.0481,0.19574,0.36368,0.23032,0.91445,0.08555,0.28121,0.05312,0.9519,0.22342,34,0.9
0.1,0.35,18,18,1,4,0.09067,0.22437,0.37207,0.30204,0.90472,0.09527,0.296,0.0493,0.90933,0.20467,36,0.9
0.15,0.4,22,22,1,6,0.0926,0.21888,0.37516,0.31229,0.91183,0.08817,0.32267,0.04848,0.9074,0.22165,44,0.9
0.2,0.45,27,27,1,9,0.06978,0.18363,0.36103,0.28661,0.9115,0.08849,0.3623,0.05779,0.93021,0.26762,54,0.9
0.25,0.5,26,26,1,10,0.08508,0.19488,0.36056,0.3109,0.90057,0.09943,0.35114,0.06052,0.91492,0.25724,52,0.9
0.3,0.55,28,28,1,12,0.0956,0.20771,0.37094,0.32688,0.91446,0.08553,0.34639,0.04943,0.9044,0.24339,56,0.9
