"","p0","p1","nc1","ne1","a1","m1","nc2","ne2","b2","m2","alpha","alpha1","alpha2","power","beta","nogo","En","N1","N2","ci"
"1",0.05,0.15,30,30,-4,2,52,52,1,8,0.04505,0.35747,0.35747,0.90138,0.05013,0.40049,106.335360123905,60,164,0.3
"2",0.1,0.2,44,44,-4,5,71,71,1,17,0.05627,0.3556,0.3556,0.90331,0.04949,0.38991,151.35718499043,88,230,0.3
"3",0.15,0.25,50,50,-5,8,101,101,2,30,0.05286,0.32096,0.32096,0.90051,0.05101,0.42168,195.855638016469,100,302,0.3
"4",0.2,0.3,53,53,-7,11,116,116,1,42,0.06122,0.35518,0.35518,0.9001,0.0503,0.43607,221.371724990922,106,338,0.3
"5",0.05,0.2,22,22,-3,2,19,19,1,5,0.04505,0.27056,0.35688,0.90289,0.0486,0.25593,55.4369565809595,44,82,0.3
"6",0.1,0.25,23,23,-4,3,35,35,1,10,0.05115,0.26064,0.3545,0.90253,0.04753,0.35549,74.4649374286743,46,116,0.3
"7",0.15,0.3,24,24,-3,4,48,48,1,16,0.05579,0.25565,0.3474,0.90438,0.04569,0.42394,94.0540167032936,48,144,0.3
"8",0.2,0.35,28,28,-4,6,52,52,1,22,0.05719,0.25141,0.34854,0.90388,0.05248,0.43271,106.949592461918,56,160,0.3
"9",0.25,0.4,30,30,-4,8,59,59,1,29,0.05636,0.24382,0.3417,0.90007,0.05059,0.41755,115.922083990055,60,178,0.3
"10",0.3,0.45,32,32,-4,10,61,61,1,35,0.06011,0.24467,0.34144,0.90089,0.05259,0.42856,123.617817296589,64,186,0.3
"11",0.35,0.5,30,30,-7,11,71,71,1,43,0.05864,0.24477,0.34681,0.90283,0.04739,0.43271,129.772362500516,60,202,0.3
"12",0.4,0.55,34,34,-4,14,69,69,2,49,0.06029,0.22942,0.3135,0.90452,0.04937,0.42891,135.510854426487,68,206,0.3
"13",0.45,0.6,30,30,-6,14,74,74,1,55,0.05529,0.23279,0.33668,0.90131,0.04926,0.43946,133.223303716392,60,208,0.3
"14",0.5,0.65,29,29,-6,15,71,71,1,58,0.05686,0.23122,0.33441,0.9002,0.05105,0.44075,128.661251972023,58,200,0.3
"15",0.55,0.7,28,28,-6,16,69,69,2,61,0.05886,0.21978,0.30674,0.90036,0.04976,0.42694,123.041222001793,56,194,0.3
"16",0.6,0.75,29,29,-4,18,61,61,3,61,0.06327,0.20531,0.27125,0.90122,0.05381,0.41447,116.284423389221,58,180,0.3
