"","p0","p1","nc1","ne1","a1","m1","nc2","ne2","b2","m2","alpha","alpha1","alpha2","power","beta","nogo","En","N1","N2","ci"
"1",0.05,0.15,30,30,-4,2,36,36,1,6,0.09135,0.37847,0.37847,0.90156,0.04995,0.35418,92.0783262396263,60,132,0.9
"2",0.1,0.2,44,44,-4,5,54,54,1,14,0.09106,0.37576,0.37576,0.90353,0.04927,0.35512,136.187154781454,88,196,0.9
"3",0.15,0.25,50,50,-5,8,74,74,1,24,0.09223,0.37426,0.37426,0.90145,0.05007,0.3823,170.230863497215,100,248,0.9
"4",0.2,0.3,53,53,-7,11,95,95,1,36,0.09396,0.37666,0.37666,0.90227,0.04813,0.40333,200.48546443222,106,296,0.9
"5",0.25,0.35,62,62,-7,16,101,101,1,48,0.09324,0.37318,0.37318,0.90052,0.05085,0.39232,222.084350114422,124,326,0.9
"6",0.3,0.4,65,65,-8,20,112,112,1,61,0.09377,0.37278,0.37278,0.9001,0.05039,0.39572,239.646829788322,130,354,0.9
"7",0.35,0.45,70,70,-7,25,118,118,2,74,0.09666,0.3501,0.3501,0.90018,0.05071,0.39021,254.90336367668,140,376,0.9
"8",0.45,0.55,70,70,-8,32,122,122,1,95,0.09911,0.37226,0.37226,0.90141,0.0495,0.39419,260.367691979064,140,384,0.9
"9",0.55,0.65,68,68,-7,38,120,120,1,112,0.09655,0.36709,0.36709,0.90281,0.0474,0.38775,252.235439302494,136,376,0.9
"10",0.6,0.7,64,64,-7,39,117,117,2,117,0.09268,0.34059,0.34059,0.90056,0.05098,0.39448,241.995167965585,128,362,0.9
"11",0.65,0.75,56,56,-8,37,109,109,1,115,0.09635,0.36439,0.36439,0.90323,0.04745,0.39654,219.448922591032,112,330,0.9
"12",0.7,0.8,52,52,-5,37,95,95,1,110,0.09575,0.35656,0.35656,0.90368,0.04702,0.38888,196.08048751682,104,294,0.9
"13",0.05,0.2,22,22,-3,2,13,13,1,4,0.07939,0.30486,0.37299,0.90544,0.04605,0.22158,51.8252860817091,44,70,0.9
"14",0.1,0.25,23,23,-4,3,26,26,1,8,0.09052,0.30146,0.37526,0.90464,0.04542,0.31612,67.1453820898723,46,98,0.9
"15",0.15,0.3,24,24,-3,4,36,36,1,13,0.08823,0.28797,0.3645,0.90007,0.05001,0.3915,82.5405125274702,48,120,0.9
"16",0.2,0.35,28,28,-4,6,39,39,1,18,0.09109,0.28739,0.36857,0.90097,0.05539,0.39881,94.2121943464385,56,134,0.9
"17",0.25,0.4,30,30,-4,8,46,46,1,24,0.09688,0.29079,0.36999,0.90427,0.04639,0.37703,103.600268873602,60,152,0.9
"18",0.3,0.45,32,32,-4,10,49,49,1,30,0.08867,0.27723,0.36116,0.90055,0.05293,0.4,111.889722090702,64,162,0.9
"19",0.35,0.5,30,30,-7,11,61,61,2,38,0.08546,0.25971,0.33304,0.90162,0.0486,0.40589,119.945269190584,60,182,0.9
"20",0.4,0.55,34,34,-4,14,53,53,1,41,0.08998,0.27394,0.35849,0.90275,0.05113,0.39923,119.856163544983,68,174,0.9
"21",0.45,0.6,30,30,-6,14,59,59,2,46,0.09607,0.2645,0.33413,0.90113,0.04944,0.39868,118.380742152259,60,178,0.9
"22",0.5,0.65,29,29,-6,15,55,55,1,48,0.09467,0.27578,0.36195,0.9007,0.05055,0.40295,112.737589555792,58,168,0.9
"23",0.55,0.7,28,28,-6,16,54,54,1,51,0.09383,0.27292,0.35953,0.90253,0.04759,0.39198,108.467043305751,56,164,0.9
"24",0.6,0.75,29,29,-4,18,45,45,1,50,0.0941,0.26678,0.35193,0.90219,0.05284,0.38364,100.996705778934,58,148,0.9
