
TDR_adhoc_alpha10_2s_2by2_alphaonly_confidence90.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,s,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.35,0.55,19,19,-3,7,45,45,6,29,0.0368,0.09919,0.14471,0.12124,0.86296,0.07746,0.07941,0.01502,0.38002,0.04721,0.50376,0.04456,82.661216911315,38,128,0.99,0.05,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,6,29,0.0368,0.09919,0.14471,0.12124,0.86296,0.07746,0.07941,0.01502,0.38002,0.04721,0.50376,0.04456,82.661216911315,38,128,0.99,0.06,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,6,29,0.0368,0.09919,0.14471,0.12124,0.86296,0.07746,0.07941,0.01502,0.38002,0.04721,0.50376,0.04456,82.661216911315,38,128,0.99,0.07,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,6,29,0.0368,0.09919,0.14471,0.12124,0.86296,0.07746,0.07941,0.01502,0.38002,0.04721,0.50376,0.04456,82.661216911315,38,128,0.99,0.08,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,6,29,0.0368,0.09919,0.14471,0.12124,0.86296,0.07746,0.07941,0.01502,0.38002,0.04721,0.50376,0.04456,82.661216911315,38,128,0.99,0.09,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,6,29,0.0368,0.09919,0.14471,0.12124,0.86296,0.07746,0.07941,0.01502,0.38002,0.04721,0.50376,0.04456,82.661216911315,38,128,0.99,0.1,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,6,29,0.0368,0.09919,0.14471,0.12124,0.86296,0.07746,0.07941,0.01502,0.38002,0.04721,0.50376,0.04456,82.661216911315,38,128,0.99,0.11,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,6,29,0.0368,0.09919,0.14471,0.12124,0.86296,0.07746,0.07941,0.01502,0.38002,0.04721,0.50376,0.04456,82.661216911315,38,128,0.99,0.12,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,6,29,0.0368,0.09919,0.14471,0.12124,0.86296,0.07746,0.07941,0.01502,0.38002,0.04721,0.50376,0.04456,82.661216911315,38,128,0.99,0.13,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,6,29,0.0368,0.09919,0.14471,0.12124,0.86296,0.07746,0.07941,0.01502,0.38002,0.04721,0.50376,0.04456,82.661216911315,38,128,0.99,0.14,0.05,0.9
