
TDR_alpha10_1s_2by2_alphamax30_eta99_gam3_ic15_confidence30.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,71,71,3,7,0.0504,0.22727,0.22727,0.07851,0.87692,0.0932,0.11364,0.02987,0.83595,0.07176,142,0.99,0.03,0.15,0.3
0.1,0.2,102,102,4,15,0.0641,0.22943,0.22943,0.09477,0.88025,0.09142,0.14179,0.02833,0.7941,0.08506,204,0.99,0.03,0.15,0.3
0.15,0.25,137,137,5,27,0.06342,0.22944,0.22944,0.09389,0.89194,0.08042,0.15937,0.02763,0.7772,0.0935,274,0.99,0.03,0.15,0.3
0.05,0.2,42,42,3,5,0.04105,0.16276,0.19793,0.06435,0.8886,0.09577,0.05961,0.01562,0.89934,0.03761,84,0.99,0.03,0.15,0.3
0.1,0.25,58,58,4,10,0.04395,0.15344,0.18687,0.06717,0.88276,0.0964,0.09361,0.02084,0.86244,0.05722,116,0.99,0.03,0.15,0.3
0.15,0.3,72,72,4,16,0.05259,0.18301,0.22511,0.08059,0.90489,0.06907,0.15359,0.02603,0.79382,0.08981,144,0.99,0.03,0.15,0.3
0.2,0.35,77,77,5,21,0.05644,0.16272,0.19514,0.08281,0.87814,0.09843,0.12543,0.02342,0.81812,0.07443,154,0.99,0.03,0.15,0.3
0.25,0.4,83,83,5,27,0.05816,0.17119,0.20872,0.08624,0.87946,0.09122,0.15156,0.02931,0.79027,0.09044,166,0.99,0.03,0.15,0.3
0.3,0.45,91,91,5,34,0.06323,0.18387,0.22393,0.09337,0.89385,0.07844,0.17002,0.0277,0.76674,0.09886,182,0.99,0.03,0.15,0.3
0.35,0.5,92,92,5,39,0.06765,0.18777,0.22791,0.09894,0.89078,0.08069,0.17569,0.02852,0.75665,0.1021,184,0.99,0.03,0.15,0.3
0.4,0.55,95,95,6,45,0.06444,0.16542,0.19594,0.09221,0.87712,0.0996,0.14325,0.02327,0.7923,0.08326,190,0.99,0.03,0.15,0.3
0.45,0.6,95,95,6,50,0.06155,0.16176,0.19359,0.08887,0.87451,0.0996,0.14974,0.02588,0.7887,0.08781,190,0.99,0.03,0.15,0.3
0.5,0.65,94,94,6,54,0.0658,0.16328,0.19209,0.09343,0.87814,0.09995,0.14543,0.0219,0.78875,0.08367,188,0.99,0.03,0.15,0.3
0.55,0.7,86,86,5,54,0.0692,0.17741,0.21403,0.09971,0.88064,0.09057,0.17604,0.02877,0.75475,0.10241,172,0.99,0.03,0.15,0.3
0.6,0.75,87,87,5,59,0.0648,0.17265,0.20885,0.09411,0.89419,0.08072,0.17832,0.02508,0.75687,0.1017,174,0.99,0.03,0.15,0.3
0.65,0.8,77,77,5,56,0.06955,0.16317,0.18999,0.09762,0.88171,0.09843,0.15397,0.01985,0.77648,0.08691,154,0.99,0.03,0.15,0.3
0.7,0.85,69,69,4,54,0.06602,0.1716,0.20853,0.09573,0.89785,0.0776,0.19167,0.02455,0.7423,0.10811,138,0.99,0.03,0.15,0.3
0.05,0.25,28,28,2,4,0.04251,0.18448,0.2721,0.07177,0.92314,0.05103,0.12605,0.02583,0.83144,0.07594,56,0.99,0.03,0.15,0.3
0.1,0.3,35,35,3,7,0.04362,0.14397,0.21406,0.06919,0.89217,0.08128,0.11281,0.02654,0.84356,0.06968,70,0.99,0.03,0.15,0.3
0.15,0.35,43,43,4,11,0.03716,0.11775,0.17871,0.05862,0.8763,0.09568,0.10675,0.02802,0.85608,0.06738,86,0.99,0.03,0.15,0.3
0.2,0.4,45,45,4,13,0.06909,0.15329,0.20188,0.09733,0.88732,0.09763,0.10831,0.01505,0.82259,0.06168,90,0.99,0.03,0.15,0.3
0.25,0.45,51,51,4,18,0.0526,0.14361,0.21329,0.08005,0.89251,0.07801,0.1588,0.02947,0.7886,0.09413,102,0.99,0.03,0.15,0.3
0.3,0.5,50,50,4,20,0.06559,0.15486,0.21823,0.0958,0.88497,0.08829,0.15675,0.02674,0.77766,0.09174,100,0.99,0.03,0.15,0.3
0.35,0.55,56,56,5,25,0.06148,0.13758,0.1849,0.08764,0.88482,0.09756,0.12477,0.01762,0.81374,0.0712,112,0.99,0.03,0.15,0.3
0.4,0.6,56,56,5,28,0.0601,0.13508,0.18392,0.08619,0.88132,0.09874,0.13261,0.01993,0.80729,0.07627,112,0.99,0.03,0.15,0.3
0.45,0.65,54,54,4,30,0.06278,0.15165,0.22218,0.09302,0.89507,0.07552,0.18651,0.0294,0.7507,0.10796,108,0.99,0.03,0.15,0.3
0.5,0.7,55,55,5,33,0.06287,0.13405,0.17766,0.08874,0.88466,0.09866,0.13259,0.01667,0.80453,0.07463,110,0.99,0.03,0.15,0.3
0.55,0.75,47,47,4,31,0.06572,0.14275,0.20023,0.09471,0.87596,0.09642,0.1684,0.02762,0.76588,0.09801,94,0.99,0.03,0.15,0.3
0.6,0.8,51,51,4,36,0.06185,0.14311,0.20252,0.09019,0.912,0.06936,0.17784,0.01864,0.7603,0.09824,102,0.99,0.03,0.15,0.3
0.65,0.85,43,43,4,33,0.05301,0.11888,0.16821,0.07737,0.88094,0.09568,0.16131,0.02337,0.78567,0.09234,86,0.99,0.03,0.15,0.3
