
TDR_alpha10_2s_2by2_alphaonly_eta99_gam18_ic5_confidence90.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,s,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.05,0.15,30,30,-4,2,42,42,3,7,0.04792,0.21999,0.21999,0.16568,0.85863,0.07214,0.07811,0.02074,0.31951,0.04942,0.55447,0.04848,97.4247139462306,60,144,0.99,0.18,0.05,0.9
0.1,0.2,44,44,-4,5,61,61,4,15,0.06693,0.22497,0.22497,0.18965,0.87027,0.06771,0.08472,0.0148,0.29452,0.04976,0.55382,0.04721,142.433637808679,88,210,0.99,0.18,0.05,0.9
0.15,0.25,50,50,-5,8,74,74,5,24,0.072,0.2136,0.2136,0.18952,0.85219,0.08363,0.08417,0.0157,0.31836,0.04993,0.52547,0.04847,170.230863497215,100,248,0.99,0.18,0.05,0.9
0.2,0.3,53,53,-7,11,95,95,5,35,0.09785,0.24595,0.24595,0.22469,0.87405,0.06692,0.08663,0.00942,0.3128,0.04802,0.50271,0.0496,200.48546443222,106,296,0.99,0.18,0.05,0.9
0.25,0.35,62,62,-7,16,93,93,6,45,0.08952,0.22326,0.22326,0.20777,0.85135,0.08737,0.08258,0.01264,0.31345,0.04761,0.51443,0.04863,214.315292679617,124,310,0.99,0.18,0.05,0.9
0.05,0.2,22,22,-3,2,11,11,2,4,0.06126,0.21683,0.26382,0.20215,0.86522,0.06423,0.07682,0.02204,0.1629,0.04943,0.69903,0.04851,50.6213959152923,44,66,0.99,0.18,0.05,0.9
0.1,0.25,23,23,-4,3,39,39,4,11,0.02982,0.13881,0.18035,0.12676,0.86364,0.06423,0.07373,0.02219,0.30309,0.04796,0.59336,0.04994,77.7180731348085,46,124,0.99,0.18,0.05,0.9
0.15,0.3,24,24,-3,4,46,46,4,15,0.06197,0.17891,0.21359,0.17826,0.87888,0.05883,0.08749,0.01236,0.33028,0.04992,0.52027,0.04992,92.1350993406563,48,140,0.99,0.18,0.05,0.9
0.2,0.35,28,28,-4,6,41,41,4,18,0.08583,0.19782,0.22975,0.20723,0.86903,0.07554,0.08474,0.01179,0.31932,0.04826,0.5101,0.04364,96.1717940565123,56,138,0.99,0.18,0.05,0.9
0.25,0.4,30,30,-4,8,63,63,6,30,0.04555,0.14039,0.17174,0.14391,0.86126,0.07378,0.08245,0.0156,0.34591,0.04903,0.52608,0.04934,119.713411718194,60,186,0.99,0.18,0.05,0.9
0.3,0.45,32,32,-4,10,51,51,5,30,0.08427,0.18477,0.21279,0.1963,0.86282,0.07997,0.08175,0.01068,0.32264,0.04622,0.51133,0.04652,113.844404625017,64,166,0.99,0.18,0.05,0.9
0.35,0.5,30,30,-7,11,71,71,6,42,0.06277,0.16215,0.19248,0.17,0.87036,0.06925,0.08527,0.0106,0.34331,0.04794,0.50865,0.04978,129.772362500516,60,202,0.99,0.18,0.05,0.9
0.4,0.55,34,34,-4,14,48,48,5,38,0.0915,0.18918,0.2168,0.20565,0.85336,0.08806,0.08588,0.01246,0.31181,0.04917,0.51079,0.04611,114.964072644513,68,164,0.99,0.18,0.05,0.9
0.45,0.6,30,30,-6,14,54,54,5,43,0.09233,0.18959,0.21769,0.2065,0.85434,0.08584,0.08257,0.01038,0.31984,0.04647,0.50525,0.04943,113.433221630881,60,168,0.99,0.18,0.05,0.9
0.5,0.65,29,29,-6,15,58,58,5,49,0.08808,0.18805,0.2174,0.20486,0.86363,0.07739,0.08841,0.01021,0.32111,0.04931,0.50239,0.04875,115.723276258836,58,174,0.99,0.18,0.05,0.9
0.55,0.7,28,28,-6,16,55,55,5,51,0.08645,0.18088,0.20832,0.19792,0.85773,0.08262,0.08363,0.00976,0.31573,0.04669,0.51419,0.04989,109.43865521882,56,166,0.99,0.18,0.05,0.9
0.6,0.75,29,29,-4,18,49,49,5,52,0.0844,0.17274,0.19691,0.18894,0.85686,0.08836,0.08199,0.00981,0.31135,0.0459,0.52226,0.04497,104.818635181506,58,156,0.99,0.18,0.05,0.9
0.65,0.8,25,25,-5,17,42,42,4,48,0.0962,0.1911,0.21899,0.21283,0.85985,0.08297,0.08456,0.00951,0.28419,0.04703,0.53505,0.04767,89.0560635739013,50,134,0.99,0.18,0.05,0.9
0.7,0.85,22,22,-3,16,45,45,4,51,0.09858,0.18696,0.20794,0.20195,0.8816,0.06912,0.07926,0.00463,0.30055,0.04195,0.52161,0.04465,87.054717220912,44,134,0.99,0.18,0.05,0.9
0.05,0.25,11,11,-2,1,19,19,2,4,0.04521,0.18355,0.26443,0.17444,0.91155,0.03098,0.08723,0.01244,0.29361,0.04984,0.57395,0.04502,38.1897847487987,22,60,0.99,0.18,0.05,0.9
0.1,0.3,14,14,-3,2,28,28,4,9,0.01546,0.08251,0.14875,0.08862,0.85538,0.06725,0.05854,0.02852,0.33882,0.04353,0.58718,0.04885,51.1181368794361,28,84,0.99,0.18,0.05,0.9
0.15,0.35,16,16,-3,3,22,22,3,9,0.06991,0.16675,0.22965,0.19399,0.87418,0.06469,0.08059,0.01283,0.28194,0.04671,0.56755,0.04829,51.0276675807001,32,76,0.99,0.18,0.05,0.9
0.2,0.4,17,17,-4,4,22,22,3,11,0.0904,0.18442,0.24371,0.21901,0.8686,0.07226,0.08038,0.01138,0.27766,0.04588,0.55155,0.04776,53.7317165787234,34,78,0.99,0.18,0.05,0.9
0.25,0.45,18,18,-3,5,29,29,4,16,0.06761,0.14862,0.20163,0.17869,0.86136,0.07726,0.08134,0.01305,0.31778,0.0472,0.53326,0.04832,63.0708224418244,36,94,0.99,0.18,0.05,0.9
0.3,0.5,18,18,-5,6,37,37,5,22,0.04679,0.11687,0.16864,0.14409,0.85312,0.08265,0.07808,0.01544,0.3394,0.04676,0.53574,0.04878,70.3554439195242,36,110,0.99,0.18,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,6,29,0.0368,0.09919,0.14471,0.12124,0.86296,0.07746,0.07941,0.01502,0.38002,0.04721,0.50376,0.04456,82.6612169113151,38,128,0.99,0.18,0.05,0.9
0.4,0.6,19,19,-3,8,28,28,4,23,0.08655,0.16326,0.2111,0.19948,0.85469,0.08687,0.08714,0.01268,0.31617,0.04991,0.51014,0.04575,65.4321410263955,38,94,0.99,0.18,0.05,0.9
0.45,0.65,19,19,-3,9,32,32,4,27,0.09651,0.17488,0.21917,0.20741,0.87789,0.07021,0.08121,0.00701,0.3067,0.04411,0.51558,0.04489,69.0026550362829,38,102,0.99,0.18,0.05,0.9
0.5,0.7,17,17,-3,9,44,44,6,37,0.03856,0.09451,0.13421,0.11841,0.85084,0.08624,0.07748,0.01367,0.36635,0.04558,0.5176,0.04925,76.4511167202145,34,122,0.99,0.18,0.05,0.9
0.55,0.75,17,17,-3,10,28,28,4,29,0.08054,0.15016,0.1941,0.18603,0.85409,0.08781,0.0822,0.01061,0.29758,0.04641,0.53968,0.04749,59.7778974290794,34,90,0.99,0.18,0.05,0.9
0.6,0.8,14,14,-3,9,32,32,4,32,0.07305,0.14173,0.18542,0.17605,0.86594,0.07658,0.08585,0.00861,0.31741,0.04723,0.52369,0.04886,58.4840392209223,28,92,0.99,0.18,0.05,0.9
0.65,0.85,13,13,-3,9,36,36,5,37,0.04678,0.09903,0.12913,0.1215,0.86588,0.08942,0.0754,0.00736,0.37114,0.04138,0.50668,0.03735,61.519038952949,26,98,0.99,0.18,0.05,0.9
0.7,0.9,12,12,-2,9,19,19,3,25,0.08594,0.14896,0.18612,0.18471,0.86085,0.09422,0.08972,0.00885,0.29415,0.04929,0.53019,0.03607,41.8529059216344,24,62,0.99,0.18,0.05,0.9
