
TDR_alpha10_2s_3by2_alphamax30_eta99_gam15_ic15_confidence30.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,b1,b2,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.05,0.15,30,30,-4,2,30,30,-7,2,6,0.06302,0.28086,0.28086,0.09858,0.85255,0.03199,0.13829,0.06696,0.00962,0.12867,0.02889,0.03807,0.24421,0.10263,0.55447,0.04848,86.7319385330219,60,120,0.99,0.15,0.15,0.3
0.1,0.2,44,44,-4,5,47,47,-12,2,14,0.05858,0.29741,0.29741,0.09385,0.85685,0.02348,0.18594,0.07246,0.00481,0.18114,0.01684,0.05562,0.20165,0.1292,0.55382,0.04721,129.940671754228,88,182,0.99,0.15,0.15,0.3
0.15,0.25,50,50,-5,8,67,67,-16,2,24,0.05727,0.30135,0.30135,0.09217,0.85575,0.02069,0.20965,0.07509,0.00376,0.20589,0.01376,0.06133,0.20761,0.14237,0.52547,0.04847,163.587403436668,100,234,0.99,0.15,0.15,0.3
0.2,0.3,53,53,-7,11,84,84,-19,2,35,0.05877,0.30514,0.30514,0.09422,0.85433,0.01994,0.22122,0.07611,0.00367,0.21754,0.01335,0.06276,0.2173,0.14867,0.50271,0.0496,189.545042234805,106,274,0.99,0.15,0.15,0.3
0.25,0.35,62,62,-7,16,88,88,-1,2,46,0.05961,0.30407,0.30407,0.0954,0.85052,0.02566,0.22245,0.07516,0.00186,0.22059,0.00735,0.06781,0.2035,0.14881,0.51443,0.04863,209.459631782863,124,300,0.99,0.15,0.15,0.3
0.65,0.75,56,56,-8,37,98,98,-24,3,109,0.06421,0.27577,0.27577,0.09924,0.85513,0.02097,0.1979,0.07457,0.00592,0.19198,0.02165,0.05291,0.23077,0.13623,0.50712,0.04932,208.605453338726,112,308,0.99,0.15,0.15,0.3
0.7,0.8,52,52,-5,37,82,82,-3,2,102,0.06199,0.28302,0.28302,0.09722,0.85083,0.02095,0.22001,0.07892,0.00323,0.21678,0.01329,0.06563,0.20262,0.14946,0.51537,0.04929,183.479999751361,104,268,0.99,0.15,0.15,0.3
0.05,0.2,22,22,-3,2,8,8,-5,1,4,0.05567,0.26167,0.34285,0.09453,0.85759,0.02006,0.16488,0.07384,0.00275,0.16213,0.01073,0.06312,0.08042,0.11936,0.69903,0.04851,48.8155606656671,44,60,0.99,0.15,0.15,0.3
0.1,0.25,23,23,-4,3,21,21,-8,1,8,0.06011,0.25134,0.33999,0.09861,0.86234,0.01739,0.20529,0.07032,0.00293,0.20236,0.00998,0.06035,0.14124,0.1378,0.59336,0.04994,63.0789624572046,46,88,0.99,0.15,0.15,0.3
0.15,0.3,24,24,-3,4,32,32,-11,2,13,0.05789,0.21559,0.28631,0.09233,0.85526,0.02356,0.19019,0.07125,0.00488,0.18531,0.01738,0.05388,0.23165,0.13072,0.52027,0.04992,78.7026778021957,48,112,0.99,0.15,0.15,0.3
0.2,0.35,28,28,-4,6,35,35,-13,2,18,0.0573,0.21235,0.28928,0.09185,0.85137,0.02446,0.20622,0.08053,0.00429,0.20193,0.01661,0.06393,0.22638,0.14338,0.5101,0.04364,90.292994926291,56,126,0.99,0.15,0.15,0.3
0.25,0.4,30,30,-4,8,42,42,-15,2,24,0.06029,0.21699,0.29535,0.09564,0.86024,0.0196,0.20449,0.07082,0.00429,0.2002,0.01511,0.05571,0.20913,0.13766,0.52608,0.04934,99.8089411454626,60,144,0.99,0.15,0.15,0.3
0.3,0.45,32,32,-4,10,43,43,-16,2,29,0.05909,0.21064,0.29065,0.09404,0.85299,0.02102,0.21722,0.07946,0.00383,0.21339,0.01465,0.06481,0.21237,0.14834,0.51133,0.04652,106.025674487759,64,150,0.99,0.15,0.15,0.3
0.35,0.5,30,30,-7,11,48,48,-17,2,34,0.06188,0.21382,0.29537,0.09776,0.85303,0.02095,0.21061,0.07624,0.00452,0.2061,0.01648,0.05976,0.21886,0.14343,0.50865,0.04978,107.170047887673,60,156,0.99,0.15,0.15,0.3
0.4,0.55,34,34,-4,14,48,48,-3,2,40,0.05827,0.20668,0.28869,0.0927,0.85733,0.02013,0.22285,0.07642,0.00306,0.21979,0.01219,0.06422,0.20808,0.14963,0.51079,0.04611,114.964072644513,68,164,0.99,0.15,0.15,0.3
0.45,0.6,30,30,-6,14,50,50,-18,2,43,0.06226,0.21002,0.29183,0.098,0.85402,0.02015,0.21377,0.07639,0.00442,0.20935,0.0164,0.05999,0.21872,0.14508,0.50525,0.04943,109.475205213779,60,160,0.99,0.15,0.15,0.3
0.5,0.65,29,29,-6,15,49,49,-18,2,46,0.06071,0.20425,0.28601,0.09579,0.85059,0.02087,0.21541,0.07977,0.00426,0.21115,0.01672,0.06305,0.22148,0.14759,0.50239,0.04875,106.766216149706,58,156,0.99,0.15,0.15,0.3
0.55,0.7,28,28,-6,16,47,47,-18,2,48,0.06219,0.20358,0.28395,0.09749,0.85272,0.02025,0.20822,0.07714,0.00462,0.2036,0.01783,0.05931,0.21538,0.14268,0.51419,0.04989,101.665759914264,56,150,0.99,0.15,0.15,0.3
0.6,0.75,29,29,-4,18,43,43,-17,2,50,0.05544,0.18964,0.27029,0.08813,0.85221,0.01994,0.21477,0.08287,0.00354,0.21122,0.01595,0.06692,0.20753,0.14882,0.52226,0.04497,99.0857410776478,58,144,0.99,0.15,0.15,0.3
0.65,0.8,25,25,-5,17,38,38,0,1,47,0.06123,0.20564,0.29942,0.09736,0.85643,0.02692,0.22832,0.06899,0,0.22832,0,0.06899,0.17539,0.14865,0.53505,0.04767,85.336438471625,50,126,0.99,0.15,0.15,0.3
0.7,0.85,22,22,-3,16,36,36,-14,3,46,0.06105,0.1687,0.2205,0.09153,0.85022,0.02407,0.16167,0.08106,0.00961,0.15206,0.04056,0.0405,0.25566,0.12137,0.52161,0.04465,78.4437737767296,44,116,0.99,0.15,0.15,0.3
0.05,0.25,11,11,-2,1,10,10,-4,2,3,0.06003,0.17389,0.24063,0.09159,0.85611,0.03688,0.07086,0.06199,0.01785,0.05301,0.04714,0.01485,0.29515,0.06642,0.57395,0.04502,30.520939341473,22,42,0.99,0.15,0.15,0.3
0.1,0.3,14,14,-3,2,14,14,-7,1,6,0.04924,0.18689,0.32904,0.08389,0.85942,0.01798,0.21089,0.07375,0.00201,0.20888,0.00842,0.06532,0.1527,0.14232,0.58718,0.04885,39.559068439718,28,56,0.99,0.15,0.15,0.3
0.15,0.35,16,16,-3,3,18,18,-9,2,9,0.04968,0.16032,0.26905,0.08105,0.85042,0.02722,0.16375,0.07406,0.00476,0.15898,0.02026,0.0538,0.21902,0.1189,0.56755,0.04829,47.5680916569364,32,68,0.99,0.15,0.15,0.3
0.2,0.4,17,17,-4,4,21,21,-10,2,12,0.05302,0.16174,0.27524,0.08558,0.85055,0.02567,0.17666,0.07602,0.00482,0.17184,0.01987,0.05615,0.21877,0.12634,0.55155,0.04776,52.8348203705996,34,76,0.99,0.15,0.15,0.3
0.25,0.45,18,18,-3,5,23,23,-12,2,15,0.05699,0.16414,0.27711,0.09073,0.85245,0.02361,0.19013,0.07562,0.00473,0.18541,0.01846,0.05717,0.21961,0.13288,0.53326,0.04832,57.4699626262745,36,82,0.99,0.15,0.15,0.3
0.3,0.5,18,18,-5,6,25,25,0,1,18,0.05845,0.17489,0.31913,0.09485,0.85751,0.0263,0.22915,0.0674,0,0.22915,0,0.0674,0.17667,0.14828,0.53574,0.04878,59.2131377834623,36,86,0.99,0.15,0.15,0.3
0.35,0.55,19,19,-3,7,26,26,-13,2,21,0.06103,0.16585,0.27998,0.09587,0.8587,0.02157,0.20671,0.07516,0.00479,0.20191,0.01797,0.05719,0.2285,0.14093,0.50376,0.04456,63.8042586598709,38,90,0.99,0.15,0.15,0.3
0.4,0.6,19,19,-3,8,27,27,-14,2,24,0.05535,0.15453,0.27098,0.08815,0.85257,0.02155,0.2107,0.08013,0.00387,0.20683,0.01658,0.06355,0.22381,0.14542,0.51014,0.04575,64.4524217040243,38,92,0.99,0.15,0.15,0.3
0.45,0.65,19,19,-3,9,27,27,-14,3,26,0.06243,0.15193,0.23856,0.09448,0.85375,0.02543,0.16335,0.07593,0.00928,0.15407,0.03435,0.04158,0.25864,0.11964,0.51558,0.04489,64.1584901868637,38,92,0.99,0.15,0.15,0.3
0.5,0.7,17,17,-3,9,28,28,-14,2,28,0.05767,0.15373,0.26747,0.09071,0.85766,0.01953,0.20197,0.07356,0.00444,0.19753,0.01826,0.05531,0.22277,0.13776,0.5176,0.04925,61.0143470037729,34,90,0.99,0.15,0.15,0.3
0.55,0.75,17,17,-3,10,28,28,-14,3,30,0.05961,0.14443,0.22849,0.09009,0.86193,0.0209,0.15314,0.06968,0.00934,0.1438,0.03549,0.03419,0.24756,0.11141,0.53968,0.04749,59.7778974290794,34,90,0.99,0.15,0.15,0.3
0.6,0.8,14,14,-3,9,26,26,-13,2,29,0.05924,0.14984,0.25733,0.09197,0.86343,0.01846,0.18894,0.06925,0.00546,0.18348,0.02252,0.04673,0.22814,0.1291,0.52369,0.04886,52.7682818669994,28,80,0.99,0.15,0.15,0.3
0.65,0.85,13,13,-3,9,23,23,-12,2,28,0.06105,0.1486,0.2508,0.09385,0.874,0.01857,0.18872,0.07008,0.00644,0.18228,0.02699,0.04309,0.24355,0.1294,0.50668,0.03735,48.6927193310508,26,72,0.99,0.15,0.15,0.3
0.7,0.9,12,12,-2,9,18,18,-11,2,25,0.06362,0.14314,0.23134,0.09578,0.87381,0.01789,0.17581,0.07223,0.00784,0.16797,0.03465,0.03758,0.23039,0.12402,0.53019,0.03607,40.91327929418,24,60,0.99,0.15,0.15,0.3
0.05,0.3,9,9,-2,1,6,6,-4,1,3,0.0337,0.15265,0.32377,0.06369,0.85537,0.02268,0.19843,0.08012,0.001,0.19743,0.00657,0.07355,0.13508,0.13927,0.63279,0.04184,22.406567458894,18,30,0.99,0.15,0.15,0.3
0.1,0.35,12,12,-2,2,8,8,-6,1,5,0.03966,0.14252,0.31841,0.07045,0.86154,0.01592,0.19037,0.07632,0.0012,0.18917,0.00643,0.06989,0.10469,0.13335,0.66528,0.04622,29.3554780496573,24,40,0.99,0.15,0.15,0.3
0.15,0.4,10,10,-3,2,14,14,-7,2,7,0.04718,0.13284,0.25855,0.07717,0.85721,0.02742,0.14963,0.06749,0.00542,0.14421,0.02309,0.0444,0.25598,0.10856,0.54721,0.04788,32.6781529451417,20,48,0.99,0.15,0.15,0.3
0.2,0.45,12,12,-3,3,14,14,-9,2,9,0.05004,0.13262,0.26283,0.08113,0.85618,0.02635,0.1619,0.07273,0.00512,0.15678,0.02212,0.05061,0.22459,0.11731,0.56348,0.04474,36.2225614884268,24,52,0.99,0.15,0.15,0.3
0.25,0.5,13,13,-3,4,15,15,-10,2,11,0.05632,0.13921,0.26951,0.0893,0.8623,0.02195,0.15816,0.06637,0.00586,0.1523,0.02219,0.04418,0.1954,0.11227,0.59011,0.04939,38.2965538571548,26,56,0.99,0.15,0.15,0.3
0.3,0.55,12,12,-3,4,17,17,-10,2,13,0.05574,0.13542,0.26764,0.08857,0.86042,0.02446,0.18879,0.07478,0.0053,0.18349,0.02163,0.05316,0.25239,0.13179,0.50308,0.04034,40.8952156085471,24,58,0.99,0.15,0.15,0.3
0.35,0.6,13,13,-2,5,15,15,-11,2,14,0.06217,0.13878,0.26138,0.0964,0.85087,0.02363,0.1845,0.07577,0.00585,0.17865,0.02257,0.05319,0.21666,0.13014,0.53667,0.04973,39.8999554801255,26,56,0.99,0.15,0.15,0.3
0.4,0.65,13,13,-4,6,16,16,-11,2,16,0.05941,0.13478,0.2642,0.09296,0.85701,0.02251,0.16727,0.0734,0.00618,0.16109,0.02487,0.04853,0.19721,0.12034,0.57611,0.04708,39.5644348142895,26,58,0.99,0.15,0.15,0.3
0.45,0.7,10,10,-4,5,18,18,0,1,17,0.06122,0.14253,0.30618,0.09784,0.86199,0.02807,0.2308,0.06206,0,0.2308,0,0.06206,0.20247,0.14643,0.50551,0.04788,37.801546429033,20,56,0.99,0.15,0.15,0.3
0.5,0.75,9,9,-4,5,20,20,-11,2,19,0.05605,0.1263,0.25321,0.08775,0.86199,0.01998,0.18436,0.06887,0.00578,0.17858,0.02439,0.04448,0.2591,0.12662,0.50048,0.04916,37.9807739257812,18,58,0.99,0.15,0.15,0.3
0.55,0.8,10,10,-2,6,17,17,-11,2,19,0.06336,0.13293,0.24889,0.09647,0.87223,0.01715,0.179,0.06361,0.00694,0.17207,0.02624,0.03737,0.23424,0.12131,0.52339,0.04701,36.2046658136093,20,54,0.99,0.15,0.15,0.3
0.6,0.85,9,9,-2,6,16,16,-10,2,19,0.05995,0.12477,0.23612,0.09146,0.87531,0.01645,0.17066,0.06415,0.00703,0.16363,0.02945,0.0347,0.23268,0.11741,0.53671,0.04409,32.825304706343,18,50,0.99,0.15,0.15,0.3
0.65,0.9,8,8,-2,6,11,11,-9,1,16,0.0538,0.11457,0.25527,0.08616,0.85662,0.01605,0.20857,0.0845,0.0024,0.20617,0.0147,0.0698,0.15719,0.14653,0.58043,0.04283,25.2305573194057,16,38,0.99,0.15,0.15,0.3
0.7,0.95,6,6,-2,5,11,11,-8,2,15,0.05918,0.10815,0.18408,0.08714,0.86707,0.0146,0.13316,0.08556,0.0118,0.12137,0.06531,0.02025,0.22783,0.10936,0.57982,0.03277,21.24385,12,34,0.99,0.15,0.15,0.3
