
TDR_alpha10_2s_3by2_alphaonly_eta99_gam11_ic20_confidence90.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,b1,b2,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.05,0.15,30,30,-4,2,19,19,-7,0,5,0.08982,0.42227,0.42227,0.34236,0.85749,0.01318,0.26893,0.08084,0.00222,0.26671,0.00553,0.07531,0.08678,0.17488,0.55447,0.04848,76.9302277375805,60,98,0.99,0.11,0.2,0.9
0.1,0.2,44,44,-4,5,34,34,-11,1,12,0.07752,0.34579,0.34579,0.29547,0.85142,0.02096,0.21952,0.0804,0.0043,0.21521,0.01254,0.06786,0.14914,0.14996,0.55382,0.04721,118.340060417953,88,156,0.99,0.11,0.2,0.9
0.15,0.25,50,50,-5,8,44,44,-14,1,19,0.09224,0.35267,0.35267,0.32024,0.85229,0.02115,0.22159,0.07808,0.00595,0.21564,0.01503,0.06306,0.16069,0.14984,0.52547,0.04847,141.758891809155,100,188,0.99,0.11,0.2,0.9
0.2,0.3,53,53,-7,11,54,54,-17,0,27,0.09934,0.38257,0.38257,0.35606,0.85349,0.01678,0.2548,0.08012,0.00427,0.25053,0.01017,0.06995,0.14315,0.16746,0.50271,0.0496,159.707527150946,106,214,0.99,0.11,0.2,0.9
0.25,0.35,62,62,-7,16,60,60,-20,0,37,0.09581,0.37481,0.37481,0.35135,0.85356,0.01639,0.25156,0.08141,0.00398,0.24759,0.00994,0.07146,0.13818,0.16648,0.51443,0.04863,182.267930761043,124,244,0.99,0.11,0.2,0.9
0.3,0.4,65,65,-8,20,68,68,-22,0,47,0.09586,0.37191,0.37191,0.35176,0.85347,0.01649,0.25001,0.08052,0.00415,0.24586,0.01041,0.07011,0.14362,0.16527,0.51051,0.0495,196.571289514338,130,266,0.99,0.11,0.2,0.9
0.35,0.45,70,70,-7,25,71,71,-23,0,57,0.09382,0.36566,0.36566,0.34823,0.85229,0.01618,0.25214,0.0824,0.00382,0.24832,0.00992,0.07249,0.1409,0.16727,0.51312,0.04911,209.136769669867,140,282,0.99,0.11,0.2,0.9
0.4,0.5,69,69,-7,28,79,79,-24,1,67,0.09676,0.34896,0.34896,0.33436,0.85491,0.0189,0.23012,0.0762,0.00603,0.22409,0.01503,0.06116,0.17056,0.15316,0.50254,0.04997,216.599032441827,138,296,0.99,0.11,0.2,0.9
0.45,0.55,70,70,-8,32,79,79,-25,1,75,0.09638,0.34807,0.34807,0.33592,0.85422,0.01927,0.22775,0.07741,0.00613,0.22162,0.01559,0.06182,0.16916,0.15258,0.50669,0.04908,217.943013658574,140,298,0.99,0.11,0.2,0.9
0.5,0.6,67,67,-9,34,79,79,-25,0,81,0.09566,0.36415,0.36415,0.35413,0.85367,0.01644,0.24979,0.08031,0.00428,0.24551,0.01106,0.06926,0.15217,0.16505,0.50236,0.04955,212.627173553173,134,292,0.99,0.11,0.2,0.9
0.55,0.65,68,68,-7,38,74,74,-24,0,86,0.09469,0.36031,0.36031,0.35261,0.85399,0.01563,0.24757,0.08057,0.00395,0.24363,0.01039,0.07018,0.14204,0.16407,0.51569,0.04979,207.678520903204,136,284,0.99,0.11,0.2,0.9
0.6,0.7,64,64,-7,39,70,70,-23,0,88,0.09415,0.35846,0.35846,0.35426,0.85313,0.01592,0.24942,0.08248,0.0039,0.24552,0.01052,0.07197,0.14358,0.16595,0.51284,0.04846,196.202237244367,128,268,0.99,0.11,0.2,0.9
0.65,0.75,56,56,-8,37,67,67,-22,0,87,0.09561,0.35922,0.35922,0.35933,0.85312,0.01611,0.24823,0.08143,0.00415,0.24408,0.01113,0.0703,0.14904,0.16483,0.50712,0.04932,178.046585445864,112,246,0.99,0.11,0.2,0.9
0.7,0.8,52,52,-5,37,59,59,-20,1,84,0.09895,0.33632,0.33632,0.33896,0.8561,0.01841,0.22047,0.0762,0.00653,0.21394,0.0172,0.059,0.16521,0.14833,0.51537,0.04929,161.186829089394,104,222,0.99,0.11,0.2,0.9
0.05,0.2,22,22,-3,2,7,7,-5,0,4,0.05271,0.28917,0.40437,0.27396,0.85085,0.00782,0.21808,0.09282,0.00052,0.21755,0.00224,0.09058,0.03019,0.15545,0.69903,0.04851,48.2136155824588,44,58,0.99,0.11,0.2,0.9
0.1,0.25,23,23,-4,3,15,15,-8,0,7,0.0742,0.28807,0.39476,0.31848,0.85314,0.01205,0.25206,0.08488,0.00159,0.25047,0.00487,0.08001,0.08038,0.16847,0.59336,0.04994,58.1992588980033,46,76,0.99,0.11,0.2,0.9
0.15,0.3,24,24,-3,4,23,23,-10,0,11,0.07758,0.27401,0.37469,0.31913,0.85155,0.01273,0.28308,0.08579,0.00175,0.28133,0.00512,0.08068,0.11906,0.18444,0.52027,0.04992,70.0675496703282,48,94,0.99,0.11,0.2,0.9
0.2,0.35,28,28,-4,6,22,22,-12,1,14,0.09798,0.27342,0.35175,0.32559,0.85214,0.02337,0.22323,0.08085,0.00691,0.21632,0.0172,0.06365,0.16868,0.15204,0.5101,0.04364,77.5555968108115,56,100,0.99,0.11,0.2,0.9
0.25,0.4,30,30,-4,8,27,27,-14,0,19,0.09037,0.27666,0.37422,0.34388,0.85309,0.01442,0.26091,0.08315,0.00285,0.25806,0.00756,0.07559,0.12263,0.17203,0.52608,0.04934,85.5914621649402,60,114,0.99,0.11,0.2,0.9
0.3,0.45,32,32,-4,10,31,31,-15,1,24,0.09232,0.26275,0.34478,0.32128,0.85771,0.01928,0.22947,0.07648,0.00561,0.22386,0.01453,0.06196,0.16688,0.15298,0.51133,0.04652,94.2975792818729,64,126,0.99,0.11,0.2,0.9
0.35,0.5,30,30,-7,11,35,35,-16,1,28,0.09481,0.26349,0.34679,0.32796,0.85485,0.02018,0.22027,0.07518,0.00668,0.21358,0.01698,0.0582,0.17628,0.14772,0.50865,0.04978,94.3948265847615,60,130,0.99,0.11,0.2,0.9
0.4,0.55,34,34,-4,14,32,32,-16,1,32,0.08983,0.25242,0.3356,0.32081,0.85074,0.01993,0.235,0.08321,0.00509,0.2299,0.01435,0.06887,0.16437,0.1591,0.51079,0.04611,99.3093817630085,68,132,0.99,0.11,0.2,0.9
0.45,0.6,30,30,-6,14,37,37,-17,0,36,0.08559,0.25846,0.35891,0.34242,0.85095,0.01526,0.26196,0.08435,0.00302,0.25894,0.00874,0.07561,0.1472,0.17316,0.50525,0.04943,96.6116518581961,60,134,0.99,0.11,0.2,0.9
0.5,0.65,29,29,-6,15,34,34,-16,0,37,0.09362,0.26537,0.36369,0.35726,0.85123,0.01602,0.25759,0.08399,0.00362,0.25397,0.0099,0.07409,0.1464,0.17079,0.50239,0.04875,91.8377826344898,58,126,0.99,0.11,0.2,0.9
0.55,0.7,28,28,-6,16,33,33,-16,0,39,0.0909,0.25931,0.3587,0.35524,0.85057,0.01548,0.25359,0.08406,0.00338,0.25021,0.00964,0.07442,0.14131,0.16883,0.51419,0.04989,88.0631931312921,56,122,0.99,0.11,0.2,0.9
0.6,0.75,29,29,-4,18,31,31,-16,2,41,0.09702,0.23629,0.30062,0.29744,0.85731,0.0225,0.18406,0.07522,0.01169,0.17237,0.03087,0.04435,0.19665,0.12964,0.52226,0.04497,87.6199528699321,58,120,0.99,0.11,0.2,0.9
0.65,0.8,25,25,-5,17,26,26,-14,0,38,0.09042,0.25166,0.35206,0.36249,0.85028,0.01493,0.24764,0.08712,0.00308,0.24456,0.00938,0.07774,0.1269,0.16738,0.53505,0.04767,74.1775631647961,50,102,0.99,0.11,0.2,0.9
0.7,0.85,22,22,-3,16,22,22,-13,1,35,0.09673,0.23882,0.31719,0.33231,0.85071,0.02072,0.21626,0.08393,0.00675,0.20951,0.02057,0.06336,0.1654,0.15009,0.52161,0.04465,65.048972863557,44,88,0.99,0.11,0.2,0.9
0.05,0.25,11,11,-2,1,8,8,-4,1,3,0.05974,0.22218,0.34216,0.24696,0.86185,0.02523,0.19843,0.0679,0.00318,0.19525,0.01135,0.05655,0.16788,0.13316,0.57395,0.04502,28.8167514731784,22,38,0.99,0.11,0.2,0.9
0.1,0.3,14,14,-3,2,10,10,-6,1,5,0.07503,0.22015,0.34506,0.28044,0.85824,0.02229,0.19322,0.07062,0.0049,0.18832,0.01448,0.05614,0.14457,0.13192,0.58718,0.04885,36.2564774569415,28,48,0.99,0.11,0.2,0.9
0.15,0.35,16,16,-3,3,11,11,-8,1,7,0.08696,0.22289,0.34566,0.30263,0.85359,0.02282,0.19947,0.07529,0.00605,0.19341,0.01643,0.05886,0.14602,0.13738,0.56755,0.04829,41.51383379035,32,54,0.99,0.11,0.2,0.9
0.2,0.4,17,17,-4,4,12,12,-9,0,9,0.09951,0.24744,0.40172,0.3638,0.85956,0.01399,0.24894,0.0787,0.00317,0.24578,0.00774,0.07096,0.09999,0.16382,0.55155,0.04776,44.7627544974855,34,58,0.99,0.11,0.2,0.9
0.25,0.45,18,18,-3,5,15,15,-10,0,12,0.09061,0.22846,0.38059,0.34622,0.85687,0.01296,0.26567,0.08185,0.00241,0.26326,0.00643,0.07541,0.11046,0.17376,0.53326,0.04832,50.0021495388747,36,66,0.99,0.11,0.2,0.9
0.3,0.5,18,18,-5,6,21,21,-12,2,16,0.07773,0.18642,0.29033,0.26415,0.85052,0.02583,0.17371,0.07486,0.00949,0.16422,0.02834,0.04653,0.21282,0.12429,0.53574,0.04878,55.4990357381083,36,78,0.99,0.11,0.2,0.9
0.35,0.55,19,19,-3,7,18,18,-12,1,17,0.09819,0.22115,0.34328,0.32485,0.86322,0.01917,0.22577,0.07304,0.00656,0.21922,0.01633,0.05672,0.17227,0.14941,0.50376,0.04456,55.864486764526,38,74,0.99,0.11,0.2,0.9
0.4,0.6,19,19,-3,8,18,18,-12,1,19,0.09525,0.21361,0.33637,0.32289,0.85751,0.0197,0.2259,0.07704,0.00613,0.21978,0.01633,0.06071,0.1687,0.15147,0.51014,0.04575,55.6349478026828,38,74,0.99,0.11,0.2,0.9
0.45,0.65,19,19,-3,9,16,16,-12,0,20,0.09405,0.21676,0.36366,0.35762,0.85244,0.01398,0.27029,0.08868,0.00265,0.26764,0.00751,0.08118,0.12008,0.17949,0.51558,0.04489,53.5013275181414,38,70,0.99,0.11,0.2,0.9
