
TDR_alpha20_1s_2by2_alphaonly_eta99_gam9_ic30_confidence90.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,28,28,1,3,0.14224,0.34892,0.34892,0.3435,0.76932,0.14512,0.22986,0.08555,0.6279,0.15771,56,0.99,0.09,0.3,0.9
0.1,0.2,43,43,2,6,0.17881,0.30529,0.30529,0.30936,0.77426,0.19556,0.11369,0.03018,0.7075,0.07194,86,0.99,0.09,0.3,0.9
0.15,0.25,50,50,2,10,0.16216,0.30996,0.30996,0.32466,0.75028,0.18827,0.17418,0.06145,0.66365,0.11782,100,0.99,0.09,0.3,0.9
0.2,0.3,56,56,1,14,0.18763,0.37501,0.37501,0.40355,0.78101,0.13095,0.26523,0.08804,0.54713,0.17663,112,0.99,0.09,0.3,0.9
0.25,0.35,63,63,2,19,0.16933,0.32462,0.32462,0.34955,0.75002,0.17369,0.20935,0.07628,0.62132,0.14281,126,0.99,0.09,0.3,0.9
0.3,0.4,66,66,2,23,0.18521,0.33484,0.33484,0.36122,0.7557,0.17452,0.20261,0.06977,0.61218,0.13619,132,0.99,0.09,0.3,0.9
0.35,0.45,68,68,2,27,0.19418,0.34018,0.34018,0.36786,0.75753,0.17541,0.19953,0.06705,0.60628,0.13329,136,0.99,0.09,0.3,0.9
0.4,0.5,71,71,2,32,0.18296,0.33487,0.33487,0.36622,0.75193,0.17113,0.21568,0.07693,0.60135,0.14631,142,0.99,0.09,0.3,0.9
0.45,0.55,70,70,2,35,0.18926,0.33658,0.33658,0.36871,0.75089,0.17498,0.21021,0.07412,0.60051,0.14217,140,0.99,0.09,0.3,0.9
0.5,0.6,71,71,2,39,0.19146,0.33844,0.33844,0.36977,0.7581,0.17113,0.2092,0.07076,0.59933,0.13998,142,0.99,0.09,0.3,0.9
0.55,0.65,70,70,2,42,0.18971,0.33612,0.33612,0.36752,0.75983,0.17,0.20977,0.07017,0.60051,0.13997,140,0.99,0.09,0.3,0.9
0.6,0.7,66,66,2,43,0.18738,0.33032,0.33032,0.36232,0.755,0.17452,0.20758,0.07047,0.60503,0.13903,132,0.99,0.09,0.3,0.9
0.65,0.75,63,63,2,44,0.1973,0.33299,0.33299,0.36024,0.76835,0.17369,0.19238,0.05795,0.61031,0.12517,126,0.99,0.09,0.3,0.9
0.7,0.8,60,60,2,45,0.18977,0.32491,0.32491,0.35015,0.77535,0.16941,0.19273,0.05524,0.6175,0.12398,120,0.99,0.09,0.3,0.9
0.05,0.2,14,14,1,2,0.13338,0.28891,0.33634,0.32452,0.75555,0.16938,0.17524,0.07507,0.69137,0.12515,28,0.99,0.09,0.3,0.9
0.1,0.25,22,22,1,4,0.15005,0.30453,0.35743,0.35637,0.79388,0.12622,0.24795,0.0799,0.60199,0.16393,44,0.99,0.09,0.3,0.9
0.15,0.3,22,22,1,5,0.19026,0.3219,0.3672,0.38537,0.77526,0.15085,0.225,0.0739,0.58473,0.14945,44,0.99,0.09,0.3,0.9
0.2,0.35,29,29,2,8,0.15719,0.26061,0.29476,0.30612,0.75192,0.19685,0.15312,0.05123,0.68969,0.10217,58,0.99,0.09,0.3,0.9
0.25,0.4,31,31,2,10,0.1716,0.27269,0.30603,0.32044,0.7571,0.19288,0.158,0.05002,0.67039,0.10401,62,0.99,0.09,0.3,0.9
0.3,0.45,32,32,2,12,0.1733,0.27365,0.30806,0.32623,0.75084,0.19375,0.16778,0.05541,0.65891,0.11159,64,0.99,0.09,0.3,0.9
0.35,0.5,35,35,2,15,0.16515,0.27108,0.30937,0.32952,0.7577,0.17924,0.18836,0.06306,0.64648,0.12571,70,0.99,0.09,0.3,0.9
0.4,0.55,34,34,2,16,0.18892,0.28574,0.31828,0.33737,0.76237,0.18797,0.16638,0.04966,0.6447,0.10802,68,0.99,0.09,0.3,0.9
0.45,0.6,30,30,1,16,0.19669,0.31585,0.36457,0.40699,0.76346,0.14788,0.25176,0.08865,0.55155,0.17021,60,0.99,0.09,0.3,0.9
0.5,0.65,35,35,2,20,0.18866,0.28543,0.31811,0.33716,0.77289,0.17924,0.17144,0.04787,0.6399,0.10965,70,0.99,0.09,0.3,0.9
0.55,0.7,30,30,1,19,0.19774,0.31671,0.36565,0.4077,0.77843,0.14015,0.2507,0.08141,0.55155,0.16606,60,0.99,0.09,0.3,0.9
0.6,0.75,31,31,2,21,0.18236,0.27145,0.30172,0.3208,0.75929,0.19288,0.16644,0.04783,0.6512,0.10713,62,0.99,0.09,0.3,0.9
0.65,0.8,27,27,1,20,0.18646,0.30362,0.35396,0.39892,0.78247,0.13574,0.25683,0.08178,0.5567,0.16931,54,0.99,0.09,0.3,0.9
0.7,0.85,27,27,2,21,0.18083,0.25829,0.28126,0.29157,0.76816,0.19813,0.14701,0.03372,0.67216,0.09036,54,0.99,0.09,0.3,0.9
0.05,0.25,11,11,1,2,0.09285,0.23149,0.32476,0.28742,0.77239,0.13952,0.18731,0.08809,0.71984,0.1377,22,0.99,0.09,0.3,0.9
0.1,0.3,14,14,1,3,0.13866,0.26333,0.34929,0.34042,0.79627,0.12814,0.23167,0.07558,0.62968,0.15362,28,0.99,0.09,0.3,0.9
0.15,0.35,19,19,2,5,0.10967,0.19787,0.25872,0.25442,0.76423,0.18667,0.13492,0.0491,0.75541,0.09201,38,0.99,0.09,0.3,0.9
0.2,0.4,19,19,1,6,0.14408,0.25852,0.35133,0.36079,0.79593,0.11547,0.27492,0.08859,0.581,0.18176,38,0.99,0.09,0.3,0.9
0.25,0.45,20,20,2,7,0.15494,0.23225,0.28267,0.29081,0.76205,0.19742,0.13628,0.04053,0.70878,0.08841,40,0.99,0.09,0.3,0.9
0.3,0.5,20,20,1,8,0.19256,0.29664,0.37448,0.39448,0.81098,0.12463,0.23887,0.06439,0.56856,0.15163,40,0.99,0.09,0.3,0.9
0.35,0.55,20,20,1,9,0.19966,0.29974,0.37534,0.39913,0.80821,0.1285,0.23454,0.06328,0.56579,0.14891,40,0.99,0.09,0.3,0.9
0.4,0.6,22,22,2,11,0.16779,0.24286,0.29341,0.30605,0.77218,0.18559,0.15455,0.04223,0.67766,0.09839,44,0.99,0.09,0.3,0.9
0.45,0.65,22,22,2,12,0.17736,0.24938,0.29593,0.30764,0.77943,0.18433,0.14759,0.03624,0.67505,0.09192,44,0.99,0.09,0.3,0.9
0.5,0.7,21,21,2,13,0.14596,0.21886,0.27397,0.29165,0.75044,0.1918,0.17602,0.05776,0.67801,0.11689,42,0.99,0.09,0.3,0.9
0.55,0.75,18,18,1,12,0.19065,0.28176,0.35789,0.39379,0.79615,0.13394,0.24298,0.06991,0.56637,0.15644,36,0.99,0.09,0.3,0.9
0.6,0.8,15,15,1,11,0.18338,0.26658,0.3396,0.38387,0.76541,0.15294,0.24285,0.08165,0.57377,0.16225,30,0.99,0.09,0.3,0.9
0.65,0.85,14,14,1,11,0.18468,0.26594,0.33675,0.37818,0.77826,0.14962,0.23684,0.07211,0.57848,0.15448,28,0.99,0.09,0.3,0.9
0.7,0.9,13,13,1,11,0.17084,0.25051,0.32244,0.36273,0.79072,0.14096,0.24428,0.06832,0.58488,0.1563,26,0.99,0.09,0.3,0.9
0.05,0.3,10,10,1,2,0.07959,0.20861,0.3363,0.27187,0.8273,0.10022,0.18868,0.07248,0.73174,0.13058,20,0.99,0.09,0.3,0.9
0.1,0.35,12,12,1,3,0.10086,0.21197,0.33989,0.30697,0.82003,0.09786,0.25801,0.08211,0.64113,0.17006,24,0.99,0.09,0.3,0.9
0.15,0.4,10,10,1,3,0.15437,0.24578,0.3446,0.35034,0.77938,0.14686,0.21857,0.07376,0.62706,0.14616,20,0.99,0.09,0.3,0.9
0.2,0.45,12,12,1,4,0.17396,0.2646,0.36155,0.36946,0.80972,0.1289,0.22398,0.06137,0.60206,0.14268,24,0.99,0.09,0.3,0.9
0.25,0.5,10,10,1,4,0.18651,0.26297,0.34923,0.374,0.75846,0.16867,0.21083,0.07287,0.60266,0.14185,20,0.99,0.09,0.3,0.9
0.3,0.55,11,11,1,5,0.17771,0.25431,0.34619,0.37459,0.76211,0.15772,0.23011,0.08017,0.59218,0.15514,22,0.99,0.09,0.3,0.9
0.35,0.6,12,12,1,6,0.17994,0.2571,0.35079,0.37913,0.77873,0.14584,0.23539,0.07543,0.58466,0.15541,24,0.99,0.09,0.3,0.9
0.4,0.65,15,15,2,8,0.1514,0.20896,0.26608,0.27477,0.7673,0.19665,0.1369,0.03604,0.7117,0.08647,30,0.99,0.09,0.3,0.9
0.45,0.7,15,15,2,9,0.13447,0.19226,0.25547,0.26663,0.75861,0.19411,0.15687,0.04728,0.70866,0.10208,30,0.99,0.09,0.3,0.9
0.5,0.75,12,12,1,8,0.16618,0.23879,0.33597,0.37285,0.7811,0.13768,0.25323,0.08122,0.58059,0.16722,24,0.99,0.09,0.3,0.9
0.55,0.8,11,11,1,8,0.16354,0.23237,0.32664,0.36722,0.77387,0.14337,0.25192,0.08277,0.58454,0.16734,22,0.99,0.09,0.3,0.9
0.6,0.85,12,12,1,9,0.18769,0.26087,0.35084,0.37726,0.83843,0.11608,0.22998,0.04548,0.58233,0.13773,24,0.99,0.09,0.3,0.9
0.65,0.9,11,11,1,9,0.16898,0.23935,0.33185,0.36083,0.84181,0.11177,0.24265,0.04642,0.58836,0.14453,22,0.99,0.09,0.3,0.9
0.7,0.95,9,9,1,8,0.16387,0.22705,0.30961,0.33111,0.84484,0.11925,0.23437,0.03591,0.60177,0.13514,18,0.99,0.09,0.3,0.9
