
TDR_alpha20_1s_2by2_litwinref_alphaonly_eta99_gam9_ic20_confidence90.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,28,28,1,3,0.14224,0.34892,0.34892,0.59089,0.76932,0.14512,0.22986,0.08555,0.6279,0.15771,56,0.99,0.09,0.2,0.9
0.1,0.2,43,43,2,6,0.17881,0.30529,0.30529,0.55413,0.77426,0.19556,0.11369,0.03018,0.7075,0.07194,86,0.99,0.09,0.2,0.9
0.15,0.25,50,50,1,10,0.18078,0.37365,0.37365,0.54466,0.78741,0.1277,0.26322,0.08489,0.556,0.17405,100,0.99,0.09,0.2,0.9
0.2,0.3,56,56,1,14,0.18763,0.37501,0.37501,0.53637,0.78101,0.13095,0.26523,0.08804,0.54713,0.17663,112,0.99,0.09,0.2,0.9
0.25,0.35,67,67,2,20,0.17443,0.3328,0.3328,0.5335,0.76991,0.16184,0.20782,0.06824,0.61775,0.13803,134,0.99,0.09,0.2,0.9
0.3,0.4,66,66,1,23,0.19936,0.38082,0.38082,0.53259,0.78271,0.13151,0.26279,0.08578,0.53784,0.17428,132,0.99,0.09,0.2,0.9
0.35,0.45,75,75,2,30,0.17587,0.33666,0.33666,0.52737,0.76742,0.15735,0.22281,0.07522,0.60131,0.14902,150,0.99,0.09,0.2,0.9
0.4,0.5,74,74,2,33,0.1957,0.34591,0.34591,0.5288,0.77208,0.16355,0.20497,0.06435,0.59932,0.13466,148,0.99,0.09,0.2,0.9
0.45,0.55,72,72,1,36,0.19934,0.37854,0.37854,0.5287,0.78043,0.13098,0.2673,0.08858,0.53335,0.17794,144,0.99,0.09,0.2,0.9
0.5,0.6,75,75,2,41,0.19587,0.34535,0.34535,0.52883,0.7749,0.16112,0.20742,0.06396,0.5967,0.13569,150,0.99,0.09,0.2,0.9
0.55,0.65,75,75,2,45,0.18371,0.33783,0.33783,0.52882,0.77237,0.15735,0.2191,0.07027,0.59718,0.14469,150,0.99,0.09,0.2,0.9
0.6,0.7,71,71,2,46,0.19338,0.33974,0.33974,0.53238,0.77783,0.16081,0.20526,0.06135,0.60135,0.1333,142,0.99,0.09,0.2,0.9
0.65,0.75,63,63,2,44,0.1973,0.33299,0.33299,0.5377,0.76835,0.17369,0.19238,0.05795,0.61031,0.12517,126,0.99,0.09,0.2,0.9
