
TDR_alpha20_1s_3by2_alphamax30_eta99_gam11_ic15_confidence30.csv
p0,p1,nc,ne,r,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,42,42,-6,2,4,0.11487,0.27591,0.27591,0.53088,0.81393,0.07784,0.14639,0.10822,0.04202,0.10437,0.07935,0.02887,0.73874,0.1273,84,0.99,0.11,0.15,0.3
0.1,0.2,70,70,-9,3,10,0.11351,0.26067,0.26067,0.47963,0.83273,0.05736,0.17054,0.10991,0.04504,0.1255,0.08273,0.02718,0.71594,0.14022,140,0.99,0.11,0.15,0.3
0.15,0.25,96,96,-11,4,18,0.1247,0.25269,0.25269,0.48071,0.84914,0.04135,0.17526,0.10951,0.06091,0.11435,0.09193,0.01758,0.70003,0.14239,192,0.99,0.11,0.15,0.3
0.05,0.2,23,23,-5,2,3,0.07743,0.2007,0.23714,0.57491,0.78718,0.1045,0.09395,0.10832,0.02775,0.06621,0.07963,0.02869,0.82862,0.10114,46,0.99,0.11,0.15,0.3
0.1,0.25,31,31,-6,2,5,0.13971,0.26093,0.2926,0.51658,0.83589,0.05852,0.17282,0.10559,0.05348,0.11934,0.08132,0.02426,0.68747,0.1392,62,0.99,0.11,0.15,0.3
0.15,0.3,45,45,-8,3,10,0.09423,0.20945,0.24459,0.52167,0.82974,0.06028,0.16789,0.10998,0.03319,0.1347,0.07689,0.0331,0.73787,0.13894,90,0.99,0.11,0.15,0.3
0.2,0.35,49,49,-9,3,13,0.1213,0.23467,0.26697,0.51122,0.83936,0.05119,0.18712,0.10945,0.04513,0.14199,0.08145,0.028,0.69158,0.14828,98,0.99,0.11,0.15,0.3
0.25,0.4,58,58,-10,3,18,0.13492,0.25714,0.29056,0.48969,0.86924,0.03729,0.20609,0.09346,0.04528,0.1608,0.0694,0.02406,0.65899,0.14977,116,0.99,0.11,0.15,0.3
0.3,0.45,65,65,-11,4,24,0.10252,0.21089,0.24311,0.48357,0.84531,0.04626,0.18628,0.10842,0.03744,0.14884,0.07976,0.02867,0.71119,0.14735,130,0.99,0.11,0.15,0.3
0.35,0.5,66,66,-12,4,27,0.13044,0.23016,0.25515,0.46802,0.85445,0.03621,0.18994,0.10933,0.05889,0.13105,0.09111,0.01822,0.67961,0.14964,132,0.99,0.11,0.15,0.3
0.4,0.55,70,70,-12,4,32,0.13638,0.23854,0.26326,0.46286,0.86807,0.03043,0.19628,0.10149,0.05963,0.13664,0.08526,0.01623,0.66733,0.14889,140,0.99,0.11,0.15,0.3
0.45,0.6,71,71,-12,4,36,0.13834,0.24021,0.26451,0.49072,0.87206,0.02827,0.19913,0.09965,0.05994,0.13919,0.08415,0.0155,0.66252,0.14939,142,0.99,0.11,0.15,0.3
0.5,0.65,72,72,-12,4,40,0.14189,0.24231,0.26498,0.4631,0.8799,0.02418,0.2009,0.09591,0.06288,0.13801,0.0827,0.01321,0.6572,0.1484,144,0.99,0.11,0.15,0.3
0.55,0.7,69,69,-12,4,42,0.13544,0.23312,0.25559,0.49281,0.87424,0.02545,0.19934,0.1003,0.06009,0.13925,0.08616,0.01414,0.66521,0.14982,138,0.99,0.11,0.15,0.3
0.6,0.75,67,67,-11,4,44,0.13852,0.22963,0.24817,0.47403,0.87857,0.02102,0.19768,0.10041,0.06761,0.13007,0.08961,0.01079,0.66379,0.14904,134,0.99,0.11,0.15,0.3
0.65,0.8,63,63,-10,4,45,0.11931,0.20938,0.22903,0.49986,0.87279,0.02313,0.19262,0.10408,0.0553,0.13731,0.09105,0.01303,0.68806,0.14835,126,0.99,0.11,0.15,0.3
0.7,0.85,57,57,-9,3,43,0.15965,0.25787,0.27583,0.50571,0.90948,0.01167,0.21418,0.07884,0.06922,0.14495,0.07186,0.00698,0.62617,0.14651,114,0.99,0.11,0.15,0.3
0.05,0.25,12,12,-4,1,2,0.10632,0.25251,0.34162,0.76284,0.80862,0.08992,0.19645,0.10146,0.01204,0.18441,0.03299,0.06847,0.69723,0.14896,24,0.99,0.11,0.15,0.3
0.1,0.3,20,20,-5,2,4,0.0993,0.19876,0.25932,0.52819,0.81657,0.07566,0.1428,0.10777,0.03365,0.10915,0.07633,0.03144,0.7579,0.12528,40,0.99,0.11,0.15,0.3
0.15,0.35,24,24,-6,2,6,0.10977,0.21349,0.28185,0.54641,0.83094,0.06377,0.18968,0.10529,0.02967,0.16001,0.06464,0.04065,0.70056,0.14748,48,0.99,0.11,0.15,0.3
0.2,0.4,32,32,-8,2,9,0.13781,0.25261,0.31974,0.51231,0.88969,0.03284,0.21782,0.07747,0.03679,0.18103,0.05282,0.02465,0.64437,0.14765,64,0.99,0.11,0.15,0.3
