
TDR_alpha20_1s_3by2_alphaonly_eta99_gam14_ic25_confidence90.csv
p0,p1,nc,ne,r,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,27,27,-5,1,3,0.13287,0.33953,0.33953,0.59106,0.7513,0.11032,0.25421,0.13839,0.01762,0.23659,0.04125,0.09714,0.61292,0.1963,54,0.99,0.14,0.25,0.9
0.1,0.2,39,39,-7,1,6,0.16536,0.36133,0.36133,0.56107,0.77287,0.08931,0.28357,0.13783,0.02489,0.25868,0.04711,0.09072,0.55107,0.2107,78,0.99,0.14,0.25,0.9
0.15,0.25,50,50,-8,1,10,0.18078,0.37365,0.37365,0.54466,0.78741,0.07882,0.29133,0.13377,0.0281,0.26322,0.04888,0.08489,0.52789,0.21255,100,0.99,0.14,0.25,0.9
0.2,0.3,56,56,-10,1,14,0.18763,0.37501,0.37501,0.53637,0.78101,0.08023,0.29463,0.13876,0.02939,0.26523,0.05073,0.08804,0.51774,0.21669,112,0.99,0.14,0.25,0.9
0.25,0.35,64,64,-11,1,19,0.19913,0.38443,0.38443,0.53038,0.79411,0.07335,0.2928,0.13254,0.03262,0.26018,0.05271,0.07983,0.50807,0.21267,128,0.99,0.14,0.25,0.9
0.3,0.4,69,69,-12,1,24,0.19728,0.38274,0.38274,0.53141,0.79134,0.07355,0.29704,0.1351,0.03134,0.26571,0.05185,0.08325,0.50567,0.21607,138,0.99,0.14,0.25,0.9
0.35,0.45,78,78,-13,2,31,0.18147,0.34336,0.34336,0.52694,0.78165,0.07945,0.25996,0.13889,0.04082,0.21913,0.07088,0.06801,0.55856,0.19942,156,0.99,0.14,0.25,0.9
0.4,0.5,78,78,-13,1,35,0.19285,0.38164,0.38164,0.5263,0.79643,0.06951,0.30367,0.13405,0.02908,0.27459,0.04947,0.08458,0.50347,0.21886,156,0.99,0.14,0.25,0.9
0.45,0.55,80,80,-13,1,40,0.18807,0.37852,0.37852,0.52515,0.79602,0.06881,0.30763,0.13515,0.02736,0.28028,0.04801,0.08714,0.50429,0.22139,160,0.99,0.14,0.25,0.9
0.5,0.6,78,78,-13,1,43,0.187,0.37535,0.37535,0.52614,0.79134,0.07045,0.3082,0.1382,0.0271,0.28111,0.04854,0.08967,0.50479,0.2232,156,0.99,0.14,0.25,0.9
0.55,0.65,78,78,-13,1,47,0.18137,0.37203,0.37203,0.53007,0.79379,0.06843,0.31194,0.13777,0.02536,0.28657,0.0469,0.09087,0.50668,0.22485,156,0.99,0.14,0.25,0.9
0.6,0.7,72,72,-12,1,47,0.18704,0.37228,0.37228,0.53076,0.79201,0.0695,0.30665,0.13848,0.02757,0.27908,0.05013,0.08835,0.5063,0.22256,144,0.99,0.14,0.25,0.9
