
TDR_alpha20_2s_2by2_alphamax30_eta99_gam12_ic10_confidence30.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,s,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.05,0.15,30,30,-4,2,15,15,2,5,0.06075,0.25228,0.25228,0.09584,0.77574,0.10925,0.12544,0.06652,0.25935,0.09598,0.55447,0.04848,73.3659692665109,60,90,0.99,0.12,0.1,0.3
0.1,0.2,44,44,-4,5,2,2,2,7,0.13416,0.29228,0.29228,0.18067,0.76207,0.13936,0.11429,0.05137,0.19773,0.08283,0.55382,0.04721,89.7847094363501,88,92,0.99,0.12,0.1,0.3
0.15,0.25,50,50,-5,8,4,4,2,11,0.14354,0.30575,0.30575,0.19321,0.75489,0.13322,0.1342,0.06341,0.19679,0.09881,0.52547,0.04847,103.796262891741,100,108,0.99,0.12,0.1,0.3
0.2,0.3,53,53,-7,11,16,16,3,17,0.14655,0.27902,0.27902,0.18939,0.7595,0.15572,0.09452,0.03517,0.25621,0.06485,0.50271,0.0496,121.913341378058,106,138,0.99,0.12,0.1,0.3
0.25,0.35,62,62,-7,16,12,12,3,22,0.15402,0.28952,0.28952,0.19897,0.75914,0.15148,0.10198,0.04074,0.22956,0.07136,0.51443,0.04863,135.653586152209,124,148,0.99,0.12,0.1,0.3
0.3,0.4,65,65,-8,20,15,15,3,28,0.14952,0.29298,0.29298,0.19609,0.7578,0.1441,0.11485,0.04859,0.22512,0.08172,0.51051,0.0495,144.684843275222,130,160,0.99,0.12,0.1,0.3
0.35,0.45,70,70,-7,25,15,15,3,34,0.15217,0.29866,0.29866,0.19975,0.76373,0.13679,0.12001,0.05035,0.21468,0.08518,0.51312,0.04911,154.606359789408,140,170,0.99,0.12,0.1,0.3
0.4,0.5,69,69,-7,28,15,15,3,38,0.15037,0.29525,0.29525,0.19805,0.75111,0.14214,0.12682,0.05676,0.22026,0.09179,0.50254,0.04997,152.923866919334,138,168,0.99,0.12,0.1,0.3
0.45,0.55,70,70,-8,32,23,23,4,46,0.15453,0.27255,0.27255,0.19554,0.75977,0.16103,0.08709,0.03011,0.25169,0.0586,0.50669,0.04908,162.692269799332,140,186,0.99,0.12,0.1,0.3
0.5,0.6,67,67,-9,34,23,23,3,50,0.13714,0.29034,0.29034,0.18464,0.75643,0.13189,0.13694,0.06212,0.22356,0.09953,0.50236,0.04955,156.89145559143,134,180,0.99,0.12,0.1,0.3
0.55,0.65,68,68,-7,38,23,23,3,55,0.13882,0.29203,0.29203,0.18619,0.76849,0.125,0.13272,0.05671,0.21276,0.09472,0.51569,0.04979,158.278459199645,136,182,0.99,0.12,0.1,0.3
0.6,0.7,64,64,-7,39,22,22,3,56,0.15059,0.2938,0.2938,0.19731,0.77531,0.13138,0.11726,0.04485,0.2193,0.08105,0.51284,0.04846,149.43498884823,128,172,0.99,0.12,0.1,0.3
0.65,0.75,56,56,-8,37,21,21,3,54,0.15312,0.28393,0.28393,0.19785,0.76419,0.14643,0.10619,0.04006,0.23357,0.07312,0.50712,0.04932,132.701168572584,112,154,0.99,0.12,0.1,0.3
0.7,0.8,52,52,-5,37,20,20,3,54,0.15458,0.27602,0.27602,0.19716,0.77132,0.14667,0.09726,0.03272,0.2328,0.06499,0.51537,0.04929,123.385365793015,104,144,0.99,0.12,0.1,0.3
0.05,0.2,22,22,-3,2,2,2,1,3,0.10439,0.3047,0.36436,0.15746,0.85956,0.04688,0.12347,0.04505,0.07312,0.08426,0.69903,0.04851,45.2038901664168,44,48,0.99,0.12,0.1,0.3
0.1,0.25,23,23,-4,3,4,4,2,5,0.09872,0.22093,0.26247,0.13992,0.7682,0.13504,0.10131,0.04682,0.20661,0.07407,0.59336,0.04994,49.2531357061342,46,54,0.99,0.12,0.1,0.3
0.15,0.3,24,24,-3,4,6,6,2,7,0.11973,0.23842,0.28017,0.16457,0.76439,0.13311,0.1229,0.05258,0.2371,0.08774,0.52027,0.04992,53.7567520879117,48,60,0.99,0.12,0.1,0.3
0.2,0.35,28,28,-4,6,8,8,2,10,0.13316,0.25709,0.30081,0.18077,0.7906,0.11689,0.13044,0.04886,0.2263,0.08965,0.5101,0.04364,63.8383988402951,56,72,0.99,0.12,0.1,0.3
0.25,0.4,30,30,-4,8,3,3,2,11,0.14387,0.2553,0.29631,0.19207,0.75172,0.13919,0.12851,0.05975,0.20153,0.09413,0.52608,0.04934,62.8434957961045,60,66,0.99,0.12,0.1,0.3
0.3,0.45,32,32,-4,10,10,10,3,16,0.12021,0.21781,0.25193,0.16014,0.7531,0.15641,0.10706,0.04397,0.26139,0.07552,0.51133,0.04652,73.7734126715719,64,84,0.99,0.12,0.1,0.3
0.35,0.5,30,30,-7,11,12,12,2,18,0.14509,0.26591,0.312,0.19507,0.78766,0.11254,0.13211,0.05002,0.21415,0.09107,0.50865,0.04978,71.7925119719182,60,84,0.99,0.12,0.1,0.3
0.4,0.55,34,34,-4,14,8,8,3,20,0.14063,0.23117,0.26111,0.18109,0.75382,0.16271,0.09875,0.03735,0.24982,0.06805,0.51079,0.04611,75.8273454407521,68,84,0.99,0.12,0.1,0.3
0.45,0.6,30,30,-6,14,12,12,3,22,0.14465,0.23235,0.26104,0.18458,0.75442,0.1656,0.08746,0.03055,0.26264,0.059,0.50525,0.04943,71.8740492513068,60,84,0.99,0.12,0.1,0.3
0.5,0.65,29,29,-6,15,12,12,2,24,0.14122,0.25611,0.30276,0.19061,0.77643,0.11747,0.14002,0.05735,0.21637,0.09869,0.50239,0.04875,69.9427468121729,58,82,0.99,0.12,0.1,0.3
0.55,0.7,28,28,-6,16,15,15,3,27,0.13357,0.22292,0.25318,0.17299,0.76449,0.15446,0.09256,0.03117,0.25968,0.06186,0.51419,0.04989,70.5741786960419,56,86,0.99,0.12,0.1,0.3
0.6,0.75,29,29,-4,18,9,9,2,26,0.14877,0.25785,0.30007,0.19717,0.78891,0.11794,0.12838,0.04819,0.20058,0.08829,0.52226,0.04497,66.5993411557867,58,76,0.99,0.12,0.1,0.3
0.65,0.8,25,25,-5,17,6,6,2,23,0.14798,0.24314,0.27984,0.19374,0.7539,0.14828,0.11376,0.05014,0.20321,0.08195,0.53505,0.04767,55.5794376534145,50,62,0.99,0.12,0.1,0.3
0.7,0.85,22,22,-3,16,7,7,2,23,0.14429,0.23497,0.26858,0.18785,0.76338,0.14738,0.11549,0.04459,0.21861,0.08004,0.52161,0.04465,50.6974004565863,44,58,0.99,0.12,0.1,0.3
0.05,0.25,11,11,-2,1,2,2,1,2,0.11864,0.26969,0.35412,0.1743,0.83627,0.07398,0.15256,0.04472,0.15484,0.09864,0.57395,0.04502,23.7041878682946,22,26,0.99,0.12,0.1,0.3
0.1,0.3,14,14,-3,2,4,4,2,4,0.07628,0.16937,0.23717,0.11272,0.76203,0.14301,0.0928,0.0461,0.24374,0.06945,0.58718,0.04885,31.3025909827766,28,36,0.99,0.12,0.1,0.3
0.15,0.35,16,16,-3,3,3,3,2,5,0.10903,0.1971,0.25817,0.15005,0.76319,0.14747,0.09616,0.04105,0.22726,0.0686,0.56755,0.04829,34.5946819428227,32,38,0.99,0.12,0.1,0.3
0.2,0.4,17,17,-4,4,5,5,2,7,0.10551,0.19669,0.26724,0.14822,0.76899,0.12979,0.11951,0.05347,0.22342,0.08649,0.55155,0.04776,38.484481040619,34,44,0.99,0.12,0.1,0.3
0.25,0.45,18,18,-3,5,4,4,2,8,0.12584,0.21237,0.27679,0.17042,0.76594,0.13603,0.11842,0.04971,0.22248,0.08407,0.53326,0.04832,39.7339065436999,36,44,0.99,0.12,0.1,0.3
0.3,0.5,18,18,-5,6,4,4,2,9,0.14163,0.22382,0.28331,0.18683,0.76433,0.14495,0.10403,0.04193,0.2186,0.07298,0.53574,0.04878,39.714102045354,36,44,0.99,0.12,0.1,0.3
0.35,0.55,19,19,-3,7,5,5,2,11,0.14224,0.22714,0.2898,0.18844,0.78066,0.12924,0.12409,0.04554,0.2299,0.08482,0.50376,0.04456,42.9623574345906,38,48,0.99,0.12,0.1,0.3
0.4,0.6,19,19,-3,8,4,4,2,12,0.13027,0.21139,0.27669,0.17578,0.75458,0.13847,0.13692,0.0612,0.22267,0.09906,0.51014,0.04575,41.9188772894851,38,46,0.99,0.12,0.1,0.3
0.45,0.65,19,19,-3,9,4,4,2,13,0.14284,0.22208,0.28259,0.18847,0.76749,0.13817,0.12385,0.04946,0.21772,0.08665,0.51558,0.04489,41.8753318795354,38,46,0.99,0.12,0.1,0.3
0.5,0.7,17,17,-3,9,4,4,2,13,0.14596,0.21886,0.27397,0.19023,0.75044,0.15328,0.11339,0.04704,0.22305,0.08021,0.5176,0.04925,37.8591924291104,34,42,0.99,0.12,0.1,0.3
0.55,0.75,17,17,-3,10,4,4,2,14,0.14844,0.22023,0.27285,0.19197,0.76435,0.14906,0.10264,0.0391,0.20923,0.07087,0.53968,0.04749,37.6825567755828,34,42,0.99,0.12,0.1,0.3
0.6,0.8,14,14,-3,9,7,7,2,15,0.14532,0.2159,0.26679,0.18747,0.77838,0.1426,0.09716,0.03016,0.23383,0.06366,0.52369,0.04886,34.6683835795768,28,42,0.99,0.12,0.1,0.3
0.65,0.85,13,13,-3,9,5,5,2,14,0.13754,0.19972,0.24339,0.17661,0.75326,0.17431,0.10084,0.03508,0.25494,0.06796,0.50668,0.03735,30.9331998545763,26,36,0.99,0.12,0.1,0.3
0.7,0.9,12,12,-2,9,5,5,2,14,0.14031,0.19677,0.22996,0.17603,0.77259,0.17008,0.08585,0.02125,0.24365,0.05355,0.53019,0.03607,28.6981331372722,24,34,0.99,0.12,0.1,0.3
0.05,0.3,9,9,-2,1,2,2,1,2,0.09144,0.22879,0.35114,0.14307,0.85913,0.05566,0.15325,0.04338,0.12252,0.09832,0.63279,0.04184,19.4688558196313,18,22,0.99,0.12,0.1,0.3
0.1,0.35,12,12,-2,2,2,2,1,3,0.13549,0.25894,0.37269,0.19183,0.87944,0.04746,0.10898,0.02689,0.09025,0.06793,0.66528,0.04622,25.3388695124143,24,28,0.99,0.12,0.1,0.3
0.15,0.4,10,10,-3,2,6,6,2,5,0.06416,0.13772,0.23367,0.09859,0.77217,0.12006,0.11779,0.05988,0.27084,0.08884,0.54721,0.04788,25.4334941193464,20,32,0.99,0.12,0.1,0.3
0.2,0.45,12,12,-3,3,3,3,1,5,0.1425,0.24317,0.3603,0.19937,0.83786,0.06852,0.15103,0.04888,0.14299,0.09996,0.56348,0.04474,26.6191203189486,24,30,0.99,0.12,0.1,0.3
0.25,0.5,13,13,-3,4,4,4,2,7,0.08725,0.15752,0.24885,0.1267,0.76787,0.12185,0.12215,0.0609,0.20048,0.09153,0.59011,0.04939,29.2790810285746,26,34,0.99,0.12,0.1,0.3
0.3,0.55,12,12,-3,4,4,4,2,7,0.12962,0.19558,0.26567,0.17166,0.77776,0.14639,0.10369,0.03551,0.26361,0.0696,0.50308,0.04034,27.9753448490699,24,32,0.99,0.12,0.1,0.3
0.35,0.6,13,13,-2,5,3,3,2,8,0.12232,0.18663,0.26014,0.1645,0.76574,0.13751,0.11786,0.04701,0.22315,0.08244,0.53667,0.04973,28.7799910960251,26,32,0.99,0.12,0.1,0.3
0.4,0.65,13,13,-4,6,3,3,2,9,0.11195,0.17419,0.25119,0.15342,0.75396,0.14582,0.11156,0.05313,0.20038,0.08235,0.57611,0.04708,28.5433315276793,26,32,0.99,0.12,0.1,0.3
0.45,0.7,10,10,-4,5,5,5,2,9,0.1316,0.18905,0.25312,0.17231,0.75457,0.16191,0.09832,0.03563,0.26457,0.06698,0.50551,0.04788,24.9448740080647,20,30,0.99,0.12,0.1,0.3
0.5,0.75,9,9,-4,5,8,8,2,11,0.12066,0.18206,0.25431,0.16135,0.78874,0.13004,0.10791,0.03206,0.27095,0.06998,0.50048,0.04916,25.9923095703125,18,34,0.99,0.12,0.1,0.3
0.55,0.8,10,10,-2,6,4,4,2,10,0.12337,0.176,0.23487,0.16184,0.75158,0.16203,0.10651,0.03938,0.24673,0.07295,0.52339,0.04701,23.8128625443787,20,28,0.99,0.12,0.1,0.3
0.6,0.85,9,9,-2,6,7,7,2,12,0.1193,0.17613,0.23862,0.15746,0.81029,0.12244,0.10007,0.02318,0.24392,0.06163,0.53671,0.04409,24.4860708090251,18,32,0.99,0.12,0.1,0.3
0.65,0.9,8,8,-2,6,4,4,1,10,0.13304,0.20381,0.31131,0.18517,0.83633,0.07561,0.14205,0.04522,0.14448,0.09363,0.58043,0.04283,19.3565662979657,16,24,0.99,0.12,0.1,0.3
0.7,0.95,6,6,-2,5,4,4,1,9,0.13044,0.19505,0.29331,0.18067,0.8499,0.08538,0.13093,0.03195,0.15881,0.08144,0.57982,0.03277,15.3614,12,20,0.99,0.12,0.1,0.3
