"","p0","p1","nc1","ne1","a1","m1","nc2","ne2","b2","m2","alpha","alpha1","alpha2","power","beta","nogo","En","N1","N2","ci"
"1",0.05,0.15,30,30,-4,2,8,8,1,4,0.10762,0.3502,0.3502,0.8108,0.14072,0.33791,67.1285169421392,60,76,0.3
"2",0.1,0.2,44,44,-4,5,8,8,1,8,0.12914,0.35927,0.35927,0.81069,0.1421,0.31703,95.1388377454006,88,104,0.3
"3",0.15,0.25,50,50,-5,8,14,14,1,13,0.13752,0.36185,0.36185,0.80884,0.14268,0.33701,113.286920121095,100,128,0.3
"4",0.2,0.3,53,53,-7,11,22,22,1,19,0.13777,0.36014,0.36014,0.80599,0.14441,0.35952,127.88084439483,106,150,0.3
"5",0.25,0.35,62,62,-7,16,24,24,1,26,0.14103,0.36435,0.36435,0.81442,0.13694,0.34453,147.307172304417,124,172,0.3
"6",0.3,0.4,65,65,-8,20,28,28,1,33,0.13297,0.35576,0.35576,0.80514,0.14536,0.35652,157.41170744708,130,186,0.3
"7",0.35,0.45,70,70,-7,25,29,29,1,40,0.1368,0.35905,0.35905,0.81111,0.13977,0.35008,168.238962259523,140,198,0.3
"8",0.4,0.5,69,69,-7,28,30,30,1,45,0.14001,0.35788,0.35788,0.80601,0.14402,0.35745,167.847733838668,138,198,0.3
"9",0.45,0.55,70,70,-8,32,29,29,1,50,0.14125,0.35729,0.35729,0.80472,0.1462,0.35205,168.611992355679,140,198,0.3
"10",0.5,0.6,67,67,-9,34,32,32,1,55,0.13964,0.35512,0.35512,0.80495,0.1455,0.35799,165.848981692425,134,198,0.3
"11",0.55,0.65,68,68,-7,38,31,31,1,60,0.13693,0.35363,0.35363,0.81018,0.14002,0.34737,166.027488486478,136,198,0.3
"12",0.6,0.7,64,64,-7,39,29,29,1,61,0.1418,0.35548,0.35548,0.81283,0.13871,0.34535,156.255212572666,128,186,0.3
"13",0.65,0.75,56,56,-8,37,30,30,1,61,0.13245,0.34364,0.34364,0.80302,0.14766,0.36044,141.573097960835,112,172,0.3
"14",0.7,0.8,52,52,-5,37,23,23,1,57,0.13943,0.34447,0.34447,0.80512,0.14559,0.3452,126.293170661967,104,150,0.3
"15",0.05,0.2,22,22,-3,2,2,2,2,3,0.08319,0.20785,0.2432,0.80416,0.14733,0.21779,45.2038901664168,44,48,0.3
"16",0.1,0.25,23,23,-4,3,4,4,1,5,0.11388,0.28416,0.34912,0.81091,0.13915,0.29276,49.2531357061342,46,54,0.3
"17",0.15,0.3,24,24,-3,4,6,6,1,7,0.13523,0.29295,0.35468,0.80317,0.14691,0.3445,53.7567520879117,48,60,0.3
"18",0.2,0.35,28,28,-4,6,7,7,1,10,0.13072,0.28577,0.3512,0.80079,0.15557,0.35918,62.8585989852582,56,70,0.3
"19",0.25,0.4,30,30,-4,8,9,9,1,13,0.1373,0.2906,0.3558,0.80799,0.14266,0.33661,68.5304873883134,60,78,0.3
"20",0.3,0.45,32,32,-4,10,12,12,1,17,0.12533,0.27845,0.34791,0.80831,0.14517,0.36334,75.7280952058863,64,88,0.3
"21",0.35,0.5,30,30,-7,11,14,14,1,19,0.14259,0.29233,0.35783,0.81277,0.13746,0.34876,73.7579306339046,60,88,0.3
"22",0.4,0.55,34,34,-4,14,11,11,1,22,0.12962,0.27624,0.34484,0.80142,0.15246,0.35959,78.7625999810342,68,90,0.3
"23",0.45,0.6,30,30,-6,14,17,17,1,25,0.14152,0.29032,0.35716,0.82168,0.12889,0.35323,76.8215697726847,60,94,0.3
"24",0.5,0.65,29,29,-6,15,16,16,2,26,0.14679,0.26722,0.31405,0.80451,0.14673,0.35082,73.9236624162305,58,90,0.3
"25",0.55,0.7,28,28,-6,16,15,15,2,27,0.14955,0.26609,0.31097,0.80434,0.14577,0.33626,70.5741786960419,56,86,0.3
"26",0.6,0.75,29,29,-4,18,10,10,1,27,0.13887,0.27637,0.3421,0.80681,0.14822,0.33887,67.5548235064297,58,78,0.3
"27",0.65,0.8,25,25,-5,17,12,12,2,27,0.15229,0.25839,0.29757,0.80479,0.14754,0.31266,61.1588753068289,50,74,0.3
"28",0.7,0.85,22,22,-3,16,8,8,1,24,0.14186,0.26874,0.33053,0.80299,0.15236,0.33652,51.6541719503844,44,60,0.3
"29",0.05,0.25,11,11,-2,1,2,2,1,2,0.11864,0.26969,0.35412,0.83627,0.1187,0.30741,23.7041878682946,22,26,0.3
"30",0.1,0.3,14,14,-3,2,4,4,1,4,0.08946,0.22212,0.33371,0.80873,0.14242,0.32336,31.3025909827766,28,36,0.3
"31",0.15,0.35,16,16,-3,3,5,5,2,5,0.1354,0.22416,0.27713,0.80789,0.14382,0.29705,36.3244699047046,32,42,0.3
"32",0.2,0.4,17,17,-4,4,5,5,1,7,0.11895,0.23858,0.34381,0.80764,0.1446,0.3295,38.484481040619,34,44,0.3
"33",0.25,0.45,18,18,-3,5,4,4,1,8,0.14276,0.25737,0.35404,0.80836,0.14332,0.32398,39.7339065436999,36,44,0.3
"34",0.3,0.5,18,18,-5,6,6,6,1,10,0.13489,0.24735,0.34822,0.80686,0.14436,0.32937,41.571153068031,36,48,0.3
"35",0.35,0.55,19,19,-3,7,7,7,1,12,0.14237,0.25591,0.35591,0.82506,0.13038,0.35387,44.9473004084268,38,52,0.3
