"","p0","p1","p01","p02","n_alphaonly","n_alpha1","n_alpha2"
"1",0.05,0.15,0.1,0.1,230,1144,1144
"2",0.1,0.2,0.15,0.15,330,1512,1512
"3",0.15,0.25,0.2,0.2,414,1828,1828
"4",0.2,0.3,0.25,0.25,488,2090,2090
"5",0.25,0.35,0.3,0.3,546,2300,2300
"6",0.3,0.4,0.35,0.35,592,2458,2458
"7",0.35,0.45,0.4,0.4,626,2564,2564
"8",0.4,0.5,0.45,0.45,644,2616,2616
"9",0.45,0.55,0.5,0.5,652,2616,2616
"10",0.5,0.6,0.55,0.55,644,2564,2564
"11",0.55,0.65,0.6,0.6,626,2458,2458
"12",0.6,0.7,0.65,0.65,592,2300,2300
"13",0.65,0.75,0.7,0.7,546,2090,2090
"14",0.7,0.8,0.75,0.75,488,1828,1828
"15",0.05,0.2,0.1,0.125,122,330,630
"16",0.1,0.25,0.15,0.175,164,414,776
"17",0.15,0.3,0.2,0.225,198,488,898
"18",0.2,0.35,0.25,0.275,228,546,998
"19",0.25,0.4,0.3,0.325,250,592,1074
"20",0.3,0.45,0.35,0.375,268,626,1126
"21",0.35,0.5,0.4,0.425,280,644,1156
"22",0.4,0.55,0.45,0.475,286,652,1162
"23",0.45,0.6,0.5,0.525,286,644,1144
"24",0.5,0.65,0.55,0.575,280,626,1104
"25",0.55,0.7,0.6,0.625,268,592,1038
"26",0.6,0.75,0.65,0.675,250,546,952
"27",0.65,0.8,0.7,0.725,228,488,840
"28",0.7,0.85,0.75,0.775,198,414,706
"29",0.05,0.25,0.1,0.15,78,164,414
"30",0.1,0.3,0.15,0.2,100,198,488
"31",0.15,0.35,0.2,0.25,118,228,546
"32",0.2,0.4,0.25,0.3,132,250,592
"33",0.25,0.45,0.3,0.35,144,268,626
"34",0.3,0.5,0.35,0.4,152,280,644
"35",0.35,0.55,0.4,0.45,158,286,652
"36",0.4,0.6,0.45,0.5,158,286,644
"37",0.45,0.65,0.5,0.55,158,280,626
"38",0.5,0.7,0.55,0.6,152,268,592
"39",0.55,0.75,0.6,0.65,144,250,546
"40",0.6,0.8,0.65,0.7,132,228,488
"41",0.65,0.85,0.7,0.75,118,198,414
"42",0.7,0.9,0.75,0.8,100,164,330
"43",0.05,0.3,0.1,0.175,56,100,298
"44",0.1,0.35,0.15,0.225,68,118,338
"45",0.15,0.4,0.2,0.275,78,132,370
"46",0.2,0.45,0.25,0.325,86,144,394
"47",0.25,0.5,0.3,0.375,92,152,408
"48",0.3,0.55,0.35,0.425,98,158,414
"49",0.35,0.6,0.4,0.475,100,158,412
"50",0.4,0.65,0.45,0.525,100,158,402
"51",0.45,0.7,0.5,0.575,98,152,384
"52",0.5,0.75,0.55,0.625,92,144,356
"53",0.55,0.8,0.6,0.675,86,132,320
"54",0.6,0.85,0.65,0.725,78,118,276
"55",0.65,0.9,0.7,0.775,68,100,224
"56",0.7,0.95,0.75,0.825,56,78,162
