
hong_alpha10_alphaonly_pwr85_eta10_gam10_confidence90.csv
p0,p1,nc,ne,d1,d2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,N
0.05,0.2,42,42,0.05,0.09,0.03868,0.09949,0.1224,0.08794,0.82979,0.09577,0.06197,0.07443,0.89935,84
0.1,0.25,62,62,0.05,0.09,0.04915,0.0826,0.09621,0.07921,0.82075,0.07997,0.09652,0.09928,0.85433,124
0.15,0.3,73,73,0.05,0.095,0.06546,0.08893,0.09849,0.08836,0.81539,0.0966,0.08222,0.08801,0.85232,146
0.2,0.35,86,86,0.05,0.099,0.07608,0.09306,0.09994,0.09311,0.82546,0.09997,0.07074,0.07458,0.85318,172
0.25,0.4,99,99,0.05,0.101,0.0813,0.09357,0.09845,0.0937,0.83561,0.09984,0.06153,0.06456,0.85718,198
0.3,0.45,102,102,0.05,0.099,0.07318,0.08147,0.08464,0.08185,0.80234,0.0991,0.08704,0.09856,0.83978,204
0.35,0.5,104,104,0.05,0.098,0.08352,0.08929,0.09127,0.08969,0.80688,0.09861,0.08878,0.09451,0.8277,208
0.4,0.55,105,105,0.05,0.098,0.09034,0.09373,0.09457,0.09397,0.80903,0.09836,0.0896,0.09261,0.82007,210
0.45,0.6,105,105,0.05,0.098,0.09373,0.09484,0.09457,0.09483,0.80903,0.09836,0.08992,0.09261,0.81635,210
0.5,0.65,104,104,0.05,0.098,0.09379,0.09267,0.09127,0.09234,0.80688,0.09861,0.08992,0.09451,0.81629,208
0.55,0.7,102,102,0.05,0.099,0.09054,0.08719,0.08464,0.08651,0.80234,0.0991,0.08962,0.09856,0.81983,204
0.6,0.75,100,100,0.05,0.101,0.09186,0.08604,0.07955,0.08419,0.80634,0.09699,0.08219,0.09667,0.82594,200
0.65,0.8,100,100,0.05,0.161,0.07939,0.07119,0.06606,0.07012,0.81178,0.09749,0.06901,0.09073,0.8516,200
0.7,0.85,91,91,0.05,0.106,0.08441,0.07261,0.06543,0.071,0.82393,0.09827,0.06199,0.07781,0.8536,182
0.05,0.25,29,29,0.056,0.157,0.01781,0.06091,0.09737,0.05846,0.81154,0.09986,0.04444,0.0886,0.93775,58
0.1,0.3,33,33,0.05,0.152,0.0735,0.11222,0.13969,0.11894,0.83872,0.09505,0.07568,0.06623,0.85082,66
0.15,0.35,43,43,0.052,0.092,0.08604,0.11179,0.13074,0.11743,0.85343,0.09568,0.05788,0.05089,0.85608,86
0.2,0.4,50,50,0.064,0.096,0.08399,0.1016,0.11476,0.10619,0.84308,0.08575,0.07339,0.07117,0.84262,100
0.25,0.45,54,54,0.06,0.127,0.07394,0.08587,0.09467,0.08948,0.81292,0.09725,0.08434,0.08983,0.84172,108
0.3,0.5,55,55,0.059,0.134,0.08785,0.09672,0.10279,0.0997,0.81486,0.09867,0.08652,0.08647,0.82563,110
0.35,0.55,63,63,0.06,0.132,0.08044,0.08616,0.08951,0.08777,0.82461,0.09774,0.0716,0.07765,0.84796,126
0.4,0.6,63,63,0.06,0.132,0.08616,0.08951,0.09061,0.09026,0.82336,0.09891,0.07242,0.07773,0.84142,126
0.45,0.65,63,63,0.06,0.132,0.08951,0.09061,0.08951,0.09038,0.82461,0.09774,0.07283,0.07765,0.83767,126
0.5,0.7,62,62,0.06,0.184,0.08887,0.08777,0.08444,0.08647,0.82083,0.09868,0.07276,0.08048,0.83838,124
0.55,0.75,61,61,0.061,0.176,0.08601,0.08271,0.07708,0.0803,0.81954,0.0971,0.07241,0.08336,0.84157,122
0.6,0.8,59,59,0.063,0.161,0.0792,0.07366,0.06569,0.07012,0.81238,0.09756,0.07143,0.09006,0.84937,118
0.65,0.85,52,52,0.062,0.111,0.09051,0.08184,0.07014,0.07594,0.81846,0.08474,0.08685,0.09679,0.82264,104
0.7,0.9,51,51,0.063,0.104,0.0798,0.06821,0.05336,0.06131,0.82848,0.07169,0.08543,0.09983,0.83477,102
0.05,0.3,18,18,0.06,0.108,0.02745,0.07859,0.13395,0.08746,0.82494,0.07774,0.08629,0.09732,0.88626,36
0.1,0.35,25,25,0.064,0.147,0.04788,0.08112,0.11689,0.09213,0.8365,0.06644,0.08272,0.09706,0.8694,50
0.15,0.4,26,26,0.062,0.111,0.08531,0.11124,0.13789,0.12395,0.8348,0.0978,0.07815,0.0674,0.83654,52
0.2,0.45,33,33,0.065,0.098,0.08219,0.09978,0.11815,0.10842,0.84697,0.09811,0.05751,0.05492,0.86031,66
0.25,0.5,40,40,0.078,0.092,0.07054,0.07843,0.08826,0.08246,0.83597,0.08267,0.06452,0.08135,0.86494,80
0.3,0.55,40,40,0.078,0.092,0.07843,0.08505,0.09408,0.08947,0.83274,0.08544,0.07047,0.08182,0.85111,80
0.35,0.6,40,40,0.078,0.092,0.08505,0.09146,0.09538,0.09493,0.82891,0.08747,0.08055,0.08363,0.83441,80
0.4,0.65,40,40,0.078,0.092,0.09146,0.09539,0.09469,0.09506,0.82775,0.09113,0.08531,0.08112,0.82323,80
0.45,0.7,40,40,0.078,0.092,0.09539,0.09485,0.09524,0.0949,0.83531,0.09228,0.08676,0.07242,0.81785,80
0.5,0.75,40,40,0.078,0.092,0.09485,0.09504,0.09312,0.09493,0.84493,0.08794,0.08592,0.06713,0.81923,80
0.55,0.8,40,40,0.078,0.092,0.09504,0.09462,0.0877,0.09173,0.85617,0.08104,0.07703,0.06279,0.82793,80
0.6,0.85,40,40,0.078,0.092,0.09462,0.09088,0.07704,0.08511,0.86655,0.06924,0.07063,0.06421,0.83475,80
0.65,0.9,40,40,0.078,0.092,0.09088,0.08309,0.06378,0.07366,0.88741,0.05636,0.06687,0.05623,0.84225,80
0.7,0.95,40,40,0.078,0.092,0.08309,0.07036,0.04827,0.06132,0.90587,0.03512,0.06431,0.05901,0.8526,80
