
hong_alpha20_alphamax30_pwr75_eta20_gam20_confidence30.csv
p0,p1,nc,ne,d1,d2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,N
0.05,0.15,66,66,0.05,0.09,0.01423,0.05454,0.05454,0.01968,0.62308,0.1799,0.06451,0.19702,0.92126,132
0.1,0.2,109,109,0.05,0.096,0.01594,0.03558,0.03558,0.01894,0.60484,0.19937,0.0546,0.19578,0.92946,218
0.15,0.25,154,154,0.05,0.099,0.01555,0.02714,0.02714,0.01737,0.60746,0.19828,0.04897,0.19426,0.93547,308
0.2,0.3,197,197,0.05,0.101,0.01371,0.02081,0.02081,0.01484,0.60194,0.19938,0.04387,0.19869,0.94242,394
0.7,0.8,197,197,0.05,0.101,0.02711,0.02081,0.02081,0.02607,0.60194,0.19938,0.0575,0.19869,0.91539,394
0.05,0.2,22,22,0.05,0.141,0.03986,0.10057,0.12389,0.05657,0.64045,0.19841,0.09821,0.16114,0.86192,44
0.1,0.25,25,25,0.05,0.09,0.11547,0.15864,0.17421,0.13174,0.68215,0.19514,0.11951,0.1227,0.76502,50
0.15,0.3,27,27,0.05,0.09,0.1681,0.19624,0.20667,0.17999,0.69705,0.19813,0.11365,0.10483,0.71825,54
0.2,0.35,30,30,0.055,0.096,0.1282,0.14767,0.15526,0.13671,0.61672,0.18877,0.18509,0.19451,0.68671,60
0.25,0.4,31,31,0.053,0.114,0.15166,0.16567,0.17106,0.15817,0.62567,0.19288,0.17795,0.18146,0.67039,62
0.3,0.45,32,32,0.051,0.183,0.16952,0.17936,0.18301,0.17432,0.63481,0.19375,0.17157,0.17144,0.65891,64
0.35,0.5,32,32,0.051,0.183,0.17936,0.1859,0.1881,0.18274,0.63221,0.19882,0.16777,0.16898,0.65286,64
0.4,0.55,33,33,0.05,0.141,0.18958,0.19331,0.19422,0.19164,0.64302,0.19447,0.16364,0.16251,0.64677,66
0.45,0.6,33,33,0.05,0.141,0.19331,0.19453,0.19422,0.19419,0.64302,0.19447,0.1621,0.16251,0.64459,66
0.5,0.65,32,32,0.051,0.183,0.19087,0.18965,0.1881,0.19058,0.63221,0.19882,0.16312,0.16898,0.64601,64
0.55,0.7,32,32,0.051,0.183,0.18965,0.1859,0.18301,0.18818,0.63481,0.19375,0.16363,0.17144,0.64673,64
0.6,0.75,31,31,0.053,0.114,0.18209,0.17553,0.17106,0.17932,0.62567,0.19288,0.1667,0.18146,0.6512,62
0.65,0.8,30,30,0.055,0.096,0.17157,0.16168,0.15526,0.16733,0.61672,0.18877,0.17082,0.19451,0.65761,60
0.7,0.85,31,31,0.053,0.114,0.16567,0.15166,0.1427,0.15996,0.63955,0.1642,0.17301,0.19626,0.66132,62
0.05,0.25,16,16,0.066,0.163,0.02162,0.06675,0.10473,0.03477,0.63533,0.18866,0.07864,0.176,0.89974,32
0.1,0.3,17,17,0.062,0.195,0.07273,0.11181,0.13985,0.08971,0.65476,0.19848,0.11561,0.14676,0.81166,34
0.15,0.35,19,19,0.057,0.132,0.12508,0.15347,0.17342,0.13902,0.69325,0.18667,0.1195,0.12008,0.75541,38
0.2,0.4,20,20,0.077,0.153,0.14786,0.15831,0.17201,0.15313,0.66762,0.17029,0.17326,0.16208,0.67888,40
0.25,0.45,20,20,0.077,0.153,0.15831,0.17201,0.18824,0.16483,0.67164,0.17611,0.16517,0.15225,0.67651,40
0.3,0.5,23,23,0.068,0.183,0.12949,0.13933,0.14594,0.13505,0.63539,0.16996,0.18498,0.19465,0.68553,46
0.35,0.55,23,23,0.068,0.183,0.13933,0.14594,0.14975,0.14328,0.6335,0.17384,0.18212,0.19266,0.67855,46
0.4,0.6,23,23,0.068,0.183,0.14594,0.14975,0.151,0.14839,0.63289,0.1751,0.18004,0.19201,0.67402,46
0.45,0.65,23,23,0.068,0.183,0.14975,0.151,0.14975,0.15076,0.6335,0.17384,0.17879,0.19266,0.67146,46
0.5,0.7,23,23,0.068,0.183,0.151,0.14975,0.14594,0.1506,0.63539,0.16996,0.17837,0.19465,0.67063,46
0.55,0.75,23,23,0.068,0.183,0.14975,0.14594,0.13933,0.14792,0.63873,0.16316,0.17879,0.1981,0.67146,46
0.6,0.8,24,24,0.066,0.15,0.1511,0.14448,0.13461,0.14787,0.6647,0.14307,0.1783,0.19223,0.67059,48
0.65,0.85,24,24,0.066,0.15,0.14448,0.13461,0.1208,0.13969,0.67337,0.12841,0.18048,0.19823,0.67504,48
0.7,0.9,17,17,0.062,0.195,0.1741,0.15984,0.13985,0.16605,0.65476,0.19848,0.11282,0.14676,0.71307,34
0.05,0.3,12,12,0.085,0.166,0.01136,0.04201,0.08661,0.02084,0.60637,0.19541,0.0595,0.19822,0.92914,24
0.1,0.35,13,13,0.079,0.162,0.04825,0.08155,0.11813,0.06414,0.64485,0.19264,0.10619,0.16251,0.84556,26
0.15,0.4,11,11,0.05,0.141,0.17929,0.20872,0.23579,0.19803,0.73569,0.13039,0.19983,0.13392,0.62088,22
0.2,0.45,14,14,0.074,0.151,0.1164,0.13611,0.15595,0.12862,0.66606,0.19967,0.12044,0.13427,0.76317,28
0.25,0.5,15,15,0.1,0.167,0.11843,0.13801,0.15434,0.13057,0.65842,0.18882,0.14402,0.15276,0.73755,30
0.3,0.55,15,15,0.1,0.167,0.13801,0.15175,0.1503,0.14803,0.6403,0.19411,0.13662,0.16559,0.72538,30
0.35,0.6,15,15,0.1,0.167,0.15175,0.15375,0.13792,0.15449,0.6115,0.19665,0.13115,0.19185,0.7171,30
0.4,0.65,19,19,0.081,0.12,0.12295,0.12671,0.12763,0.12556,0.66649,0.13815,0.18693,0.19537,0.69012,38
