
hong_alpha20_alphaonly_eta10_gam10_confidence90.csv
p0,p1,nc,ne,d1,d2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,N
0.05,0.2,22,22,0.05,0.09,0.13808,0.21995,0.24327,0.22425,0.80159,0.19841,0,0,0.86192,44
0.1,0.25,35,35,0.05,0.098,0.07957,0.11915,0.13421,0.12487,0.71271,0.18781,0.07687,0.09948,0.84356,70
0.15,0.3,37,37,0.05,0.095,0.12577,0.1536,0.16423,0.16155,0.71977,0.19331,0.08044,0.08693,0.7938,74
0.2,0.35,39,39,0.05,0.092,0.16002,0.17954,0.18703,0.18689,0.72815,0.19384,0.07873,0.07801,0.76125,78
0.25,0.4,40,40,0.05,0.091,0.18259,0.19634,0.20158,0.20244,0.72826,0.19816,0.07631,0.07358,0.7411,80
0.3,0.45,51,51,0.05,0.099,0.16523,0.17501,0.17864,0.17859,0.74366,0.19477,0.05936,0.06158,0.77541,102
0.35,0.5,51,51,0.05,0.099,0.17501,0.18152,0.18372,0.18391,0.73923,0.19981,0.05869,0.06096,0.76629,102
0.4,0.55,50,50,0.05,0.1,0.17914,0.18288,0.1838,0.18392,0.72924,0.19714,0.0597,0.07362,0.76115,100
0.45,0.6,50,50,0.05,0.1,0.18288,0.1841,0.1838,0.18361,0.72924,0.18871,0.06621,0.08205,0.75091,100
0.5,0.65,50,50,0.05,0.1,0.1841,0.18288,0.18134,0.18077,0.73131,0.18249,0.07861,0.0862,0.73729,100
0.55,0.7,50,50,0.05,0.1,0.18288,0.17914,0.17626,0.17534,0.73563,0.17328,0.08525,0.09109,0.73187,100
0.6,0.75,49,49,0.05,0.102,0.17671,0.17018,0.16573,0.16445,0.73412,0.19967,0.05857,0.06622,0.76472,98
0.65,0.8,48,48,0.05,0.103,0.16769,0.15788,0.15151,0.15008,0.73513,0.19498,0.05922,0.0699,0.7731,96
0.7,0.85,37,37,0.05,0.095,0.18704,0.17317,0.16423,0.15909,0.71977,0.19331,0.07576,0.08693,0.7372,74
0.05,0.25,16,16,0.05,0.103,0.10026,0.18072,0.22491,0.19506,0.81134,0.18866,0,0,0.89974,32
0.1,0.3,17,17,0.05,0.099,0.18834,0.23196,0.25819,0.25134,0.80152,0.19848,0,0,0.81166,34
0.15,0.35,25,25,0.05,0.12,0.15864,0.18698,0.20635,0.20057,0.80033,0.15006,0.04252,0.04961,0.79884,50
